County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Floyd,"2,846","2,664",31,"4,755",10,"10,306",236,134,7,404,1,782,"11,088"
Franklin,"1,207","2,999",18,"2,060",3,"6,287",75,101,0,177,1,354,"6,641"
Fremont,"1,010","2,322",11,"1,343",6,"4,692",91,116,0,175,0,382,"5,074"
Greene,"1,650","2,377",37,"2,173",5,"6,242",67,93,5,183,1,349,"6,591"
Grundy,"1,449","3,989",32,"3,052",7,"8,529",59,144,3,213,2,421,"8,950"
Guthrie,"1,627","2,839",40,"2,983",3,"7,492",61,96,1,185,0,343,"7,835"
Hamilton,"2,336","3,927",38,"3,404",9,"9,714",119,135,2,302,0,558,"10,272"
Hancock,"1,403","3,313",16,"2,705",8,"7,445",76,98,3,242,0,419,"7,864"
Hardin,"2,529","4,650",60,"3,737",9,"10,985",138,218,3,302,1,662,"11,647"
Harrison,"2,026","3,756",46,"2,532",10,"8,370",40,84,1,102,2,229,"8,599"
Henry,"2,655","5,045",56,"4,742",8,"12,506",286,295,3,647,1,"1,232","13,738"
Howard,"1,653","1,480",20,"2,625",1,"5,779",93,67,0,220,0,380,"6,159"
Humboldt,"1,209","2,683",22,"2,311",3,"6,228",66,101,2,193,0,362,"6,590"
Ida,783,"2,183",16,"1,688",3,"4,673",35,73,0,118,0,226,"4,899"
Iowa,"2,552","4,061",59,"4,747",9,"11,428",123,178,0,317,0,618,"12,046"
Jackson,"4,874","3,076",33,"5,761",7,"13,751",232,145,2,459,1,839,"14,590"
Jasper,"8,136","7,432",95,"8,796",19,"24,478",374,302,2,630,1,"1,309","25,787"
Jefferson,"4,188","3,162",51,"2,783",31,"10,215",331,160,8,397,10,906,"11,121"
Johnson,"43,392","17,822",661,"28,443",176,"90,494","6,808","3,153",132,"7,338",60,"17,491","107,985"
Jones,"3,052","3,960",33,"5,885",5,"12,935",124,128,5,395,1,653,"13,588"
Keokuk,"1,783","2,390",18,"2,207",5,"6,403",120,95,0,191,0,406,"6,809"
Kossuth,"3,014","3,463",31,"4,252",9,"10,769",136,155,1,333,0,625,"11,394"
Lee,"8,817","4,459",115,"7,990",23,"21,404",604,306,12,"1,030",3,"1,955","23,359"
Linn,"51,557","37,862","1,237","51,010",296,"141,962","3,434","2,095",102,"4,260",33,"9,924","151,886"
Louisa,"1,656","2,389",19,"2,656",5,"6,725",104,105,1,237,1,448,"7,173"
Lucas,"1,232","2,287",16,"1,951",3,"5,489",73,112,1,197,1,384,"5,873"
Lyon,766,"5,681",18,"1,529",1,"7,995",92,208,2,188,1,491,"8,486"
Madison,"2,662","4,235",49,"3,812",9,"10,767",145,253,4,359,0,761,"11,528"
Mahaska,"2,378","6,979",86,"4,187",13,"13,643",292,311,6,526,1,"1,136","14,779"
Marion,"5,108","9,690",98,"7,422",17,"22,335",327,507,6,711,1,"1,552","23,887"
Marshall,"7,068","7,191",88,"8,579",27,"22,953",505,368,7,833,0,"1,713","24,666"
Mills,"1,932","5,007",78,"2,909",20,"9,946",80,128,4,139,2,353,"10,299"
Mitchell,"1,601","2,511",12,"2,708",5,"6,837",77,80,1,177,0,335,"7,172"
Monona,"1,617","2,078",21,"2,176",8,"5,900",72,84,2,138,1,297,"6,197"
Monroe,"1,439","1,725",12,"1,530",0,"4,706",76,81,1,132,1,291,"4,997"
Montgomery,"1,081","3,528",19,"2,205",6,"6,839",71,160,4,220,1,456,"7,295"
Muscatine,"7,852","7,900",113,"10,307",43,"26,215",618,457,10,"1,099",2,"2,186","28,401"
O'Brien,"1,138","5,706",29,"2,355",8,"9,236",102,190,5,224,1,522,"9,758"
Osceola,453,"2,482",8,"1,091",5,"4,039",24,71,0,86,1,182,"4,221"
Page,"1,505","4,936",30,"2,863",10,"9,344",135,252,7,363,0,757,"10,101"
Palo Alto,"1,882","1,858",18,"2,271",6,"6,035",87,52,0,142,0,281,"6,316"
Plymouth,"3,029","8,361",66,"5,281",24,"16,761",159,328,5,352,0,844,"17,605"
Pocahontas,947,"1,974",22,"1,826",3,"4,772",72,68,3,183,0,326,"5,098"
Polk,"114,812","81,462","2,356","84,696",474,"283,800","7,737","4,972",210,"7,795",56,"20,770","304,570"
Pottawattamie,"15,131","20,841",457,"19,319",116,"55,864","2,493","2,212",63,"3,816",22,"8,606","64,470"
Poweshiek,"4,071","3,735",51,"4,772",10,"12,639",710,161,8,691,4,"1,574","14,213"
Ringgold,836,"1,458",7,725,0,"3,026",45,67,0,70,0,182,"3,208"
Sac,"1,238","3,223",18,"2,315",7,"6,801",70,97,0,204,0,371,"7,172"
Scott,"35,451","31,081",693,"46,083",168,"113,476","3,921","2,694",94,"5,736",28,"12,473","125,949"
Shelby,"1,737","3,552",22,"2,606",2,"7,919",76,117,5,165,0,363,"8,282"
Sioux,"1,738","15,393",50,"4,015",16,"21,212",126,473,6,331,3,939,"22,151"
Story,"19,321","17,204",593,"21,774",140,"59,032","2,509","1,771",98,"3,615",31,"8,024","67,056"
Tama,"3,008","3,329",37,"4,693",8,"11,075",154,96,1,355,0,606,"11,681"
Taylor,672,"1,843",20,"1,192",0,"3,727",33,63,2,89,0,187,"3,914"
Union,"1,666","2,710",26,"3,161",5,"7,568",106,146,1,344,1,598,"8,166"
Van Buren,950,"2,033",20,"1,642",8,"4,653",54,70,4,129,0,257,"4,910"
Wapello,"8,013","5,268",72,"6,665",31,"20,049",611,338,7,917,0,"1,873","21,922"
Warren,"9,782","11,397",184,"11,475",26,"32,864",563,639,14,"1,014",4,"2,234","35,098"
Washington,"3,093","5,814",86,"5,057",21,"14,071",170,253,6,449,1,879,"14,950"
Wayne,903,"1,421",15,"1,171",1,"3,511",35,65,1,72,1,174,"3,685"
Webster,"7,685","7,067",109,"9,148",43,"24,052",482,292,3,807,3,"1,587","25,639"
Winnebago,"1,481","2,758",29,"2,964",6,"7,238",153,136,1,323,0,613,"7,851"
Winneshiek,"4,091","4,296",36,"5,281",21,"13,725",308,152,4,501,4,969,"14,694"
Woodbury,"17,660","19,816",303,"18,907",66,"56,752","1,628","1,293",29,"2,196",12,"5,158","61,910"
Worth,"1,335","1,887",12,"2,020",1,"5,255",119,98,2,251,0,470,"5,725"
Wright,"1,743","3,451",29,"2,507",6,"7,736",123,153,2,242,1,521,"8,257"
Totals,"618,472","643,078","11,259","699,407","2,649","1,974,865","50,000","37,901","1,136","74,362",391,"163,790","2,138,655"
