County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Louisa,"1,613","2,466",15,"2,675",5,"6,774",94,85,1,205,1,386,"7,160"
Lucas,"1,230","2,293",13,"2,017",3,"5,556",58,102,0,168,1,329,"5,885"
Lyon,844,"5,463",13,"1,675",2,"7,997",82,180,2,178,0,442,"8,439"
Madison,"2,591","4,321",39,"3,832",10,"10,793",128,193,2,298,1,622,"11,415"
Mahaska,"2,430","6,854",64,"4,399",15,"13,762",268,249,4,480,0,"1,001","14,763"
Marion,"5,112","9,446",74,"7,798",20,"22,450",286,420,7,597,0,"1,310","23,760"
Marshall,"6,915","7,401",71,"8,965",24,"23,376",379,269,5,665,0,"1,318","24,694"
Mills,"1,951","5,034",63,"3,090",18,"10,156",18,21,1,27,1,68,"10,224"
Mitchell,"1,612","2,523",8,"2,774",5,"6,922",66,73,1,141,0,281,"7,203"
Monona,"1,667","2,043",16,"2,240",7,"5,973",61,62,1,111,0,235,"6,208"
Monroe,"1,478","1,704",10,"1,597",0,"4,789",61,51,1,102,1,216,"5,005"
Montgomery,997,"3,578",14,"2,262",7,"6,858",61,115,1,179,0,356,"7,214"
Muscatine,"7,797","8,042",86,"10,426",44,"26,395",537,390,5,927,0,"1,859","28,254"
O'Brien,"1,134","5,717",27,"2,393",9,"9,280",91,162,3,196,1,453,"9,733"
Osceola,456,"2,506",3,"1,138",5,"4,108",18,55,0,68,1,142,"4,250"
Page,"1,444","5,128",25,"2,842",11,"9,450",114,194,5,310,0,623,"10,073"
Palo Alto,"1,942","1,775",15,"2,322",4,"6,058",75,32,0,101,0,208,"6,266"
Plymouth,"2,997","8,340",58,"5,415",25,"16,835",154,272,2,319,0,747,"17,582"
Pocahontas,919,"2,028",16,"1,905",4,"4,872",56,60,2,158,0,276,"5,148"
Polk,"108,992","84,744","2,049","87,911",541,"284,237","6,351","3,880",136,"6,331",35,"16,733","300,970"
Pottawattamie,"15,166","21,017",405,"19,933",119,"56,640","2,146","1,918",40,"3,326",15,"7,445","64,085"
Poweshiek,"3,978","3,716",42,"4,893",11,"12,640",690,128,8,620,4,"1,450","14,090"
Ringgold,809,"1,516",6,785,0,"3,116",36,34,0,53,0,123,"3,239"
Sac,"1,234","3,123",14,"2,472",6,"6,849",58,90,0,188,0,336,"7,185"
Scott,"35,275","31,835",637,"47,038",191,"114,976","3,169","2,107",65,"4,686",19,"10,046","125,022"
Shelby,"1,704","3,604",21,"2,708",3,"8,040",62,99,2,128,1,292,"8,332"
Sioux,"1,693","15,432",47,"4,100",17,"21,289",106,395,6,277,2,786,"22,075"
Story,"18,900","17,921",561,"23,418",162,"60,962","2,124","1,542",68,"3,176",23,"6,933","67,895"
Tama,"2,990","3,361",27,"4,824",7,"11,209",144,84,1,301,0,530,"11,739"
Taylor,665,"1,873",21,"1,251",0,"3,810",27,48,1,70,0,146,"3,956"
Union,"1,626","2,698",20,"3,313",5,"7,662",88,112,0,298,0,498,"8,160"
Van Buren,942,"2,054",14,"1,639",9,"4,658",46,57,4,105,1,213,"4,871"
Wapello,"7,973","5,393",65,"6,976",36,"20,443",555,263,3,786,0,"1,607","22,050"
Warren,"9,428","11,573",152,"11,923",27,"33,103",455,509,7,824,3,"1,798","34,901"
Washington,"2,918","6,081",68,"5,133",25,"14,225",136,188,4,360,1,689,"14,914"
Wayne,900,"1,433",10,"1,244",2,"3,589",30,47,1,56,0,134,"3,723"
Webster,"7,583","6,826",86,"8,733",45,"23,273",491,311,3,825,1,"1,631","24,904"
Winnebago,"1,476","2,813",21,"3,000",7,"7,317",137,111,1,274,0,523,"7,840"
Winneshiek,"3,946","4,385",27,"5,286",21,"13,665",267,133,3,435,3,841,"14,506"
Woodbury,"17,475","20,158",221,"19,361",78,"57,293","1,424","1,073",21,"1,897",7,"4,422","61,715"
Worth,"1,319","1,953",5,"2,059",1,"5,337",101,77,2,213,0,393,"5,730"
Wright,"1,802","3,391",23,"2,671",8,"7,895",101,117,2,204,1,425,"8,320"
Totals,"604,493","653,032","9,606","721,344","2,944","1,991,419","42,390","30,420",777,"63,069",281,"136,937","2,128,356"
