name,district_num,party,county,email
Dr. Steven P. Bradley,66,Republican,Jones,steven.bradley@legis.iowa.gov
Craig P. Johnson,67,Republican,Buchanan,craig.johnson@legis.iowa.gov
Chad Ingels,68,Republican,Fayette,chad.ingels@legis.iowa.gov
Tom Determann,69,Republican,Clinton,tom.determann@legis.iowa.gov
Norlin G. Mommsen,70,Republican,Clinton,norlin.mommsen@legis.iowa.gov
Lindsay James,71,Democrat,Dubuque,lindsay.james@legis.iowa.gov
Jennifer J. Smith,72,Republican,Dubuque,jennifer.smith@legis.iowa.gov
Elizabeth Wilson,73,Democrat,Linn,elizabeth.wilson@legis.iowa.gov
Eric J. Gjerde,74,Democrat,Linn,eric.gjerde@legis.iowa.gov
Bob Kressig,75,Democrat,Black Hawk,bob.kressig@legis.iowa.gov
Derek Wulf,76,Republican,Black Hawk,derek.wulf@legis.iowa.gov
Jeff Cooling,77,Democrat,Linn,jeff.cooling@legis.iowa.gov
Angel Ramirez,78,Democrat,Linn,angel.ramirez@legis.iowa.gov
Tracy A. Ehlert,79,Democrat,Linn,tracy.ehlert@legis.iowa.gov
Aime Wichtendahl,80,Democrat,Linn,aime.wichtendahl@legis.iowa.gov
Daniel Gosa,81,Democrat,Scott,daniel.gosa@legis.iowa.gov
Bobby Kaufmann,82,Republican,Cedar,bobby.kaufmann@legis.iowa.gov
Cindy Golding,83,Republican,Linn,cindy.golding@legis.iowa.gov
Thomas Gerhold,84,Republican,Benton,thomas.gerhold@legis.iowa.gov
Amy Nielsen,85,Democrat,Johnson,amy.nielsen@legis.iowa.gov
David Jacoby,86,Democrat,Johnson,david.jacoby@legis.iowa.gov
Jeff Shipley,87,Republican,Van Buren,jeff.shipley@legis.iowa.gov
Helena Hayes,88,Republican,Mahaska,helena.hayes@legis.iowa.gov
Elinor A. Levin,89,Democrat,Johnson,elinor.levin@legis.iowa.gov
Adam Zabner,90,Democrat,Johnson,adam.zabner@legis.iowa.gov
Judd Lawler,91,Republican,Johnson,judd.lawler@legis.iowa.gov
Heather Hora,92,Republican,Washington,heather.hora@legis.iowa.gov
Gary M. Mohr,93,Republican,Scott,gary.mohr@legis.iowa.gov
Mike Vondran,94,Republican,Scott,mike.vondran@legis.iowa.gov
Taylor R. Collins,95,Republican,Des Moines,taylor.collins@legis.iowa.gov
Mark Cisneros,96,Republican,Muscatine,mark.cisneros@legis.iowa.gov
Ken Croken,97,Democrat,Scott,ken.croken@legis.iowa.gov
Monica Kurth,98,Democrat,Scott,monica.kurth@legis.iowa.gov
Matthew Rinker,99,Republican,Des Moines,matthew.rinker@legis.iowa.gov
Blaine C. Watkins,100,Republican,Lee,blaine.watkins@legis.iowa.gov
