State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 039,6308,5271,170,5363,22,17134,1372,613,39,1723,14,3761,20895
State Representative District 040,6252,6843,178,6829,29,20131,943,679,35,1512,11,3180,23311
State Representative District 041,6829,8781,208,8518,45,24381,801,786,34,1504,10,3135,27516
State Representative District 042,6232,7456,172,7065,19,20944,806,812,43,1368,12,3041,23985
State Representative District 043,6871,7667,175,6620,25,21358,908,661,32,1223,9,2833,24191
State Representative District 044,7184,6637,154,5880,33,19888,1022,669,38,1321,9,3059,22947
State Representative District 045,5295,9488,179,7687,22,22671,573,584,38,1117,8,2320,24991
State Representative District 046,5779,8530,154,8319,29,22811,735,693,38,1464,8,2938,25749
State Representative District 047,4370,8211,154,6337,27,19099,783,808,38,2090,3,3722,22821
State Representative District 048,5373,7838,162,7664,25,21062,873,860,47,2159,10,3949,25011
State Representative District 049,4970,3103,116,5875,47,14111,2942,1890,130,3978,41,8981,23092
State Representative District 050,7100,4585,136,6756,44,18621,2052,883,82,2363,27,5407,24028
State Representative District 051,4782,8663,177,7304,29,20955,688,824,52,1805,18,3387,24342
State Representative District 052,4637,5226,98,4774,23,14758,1365,683,39,2165,14,4266,19024
State Representative District 053,4980,6863,81,6517,25,18466,1879,720,35,2391,7,5032,23498
State Representative District 054,3682,10147,123,5515,24,19491,674,1014,31,1760,9,3488,22979
State Representative District 055,3783,9196,109,5585,17,18690,734,855,31,1826,10,3456,22146
State Representative District 056,3062,9629,108,5413,21,18233,657,1011,24,1899,9,3600,21833
State Representative District 057,4213,8787,93,7225,24,20342,717,758,25,1792,3,3295,23637
State Representative District 058,4312,7347,76,7079,13,18827,833,700,30,2227,12,3802,22629
State Representative District 059,5615,6069,118,6782,30,18614,1153,717,32,2575,18,4495,23109
State Representative District 060,4293,9077,115,6694,22,20201,747,866,38,1990,15,3656,23857
State Representative District 061,6146,4773,130,5004,33,16086,1873,643,33,1996,14,4559,20645
State Representative District 062,6134,2843,121,4186,32,13316,2471,543,34,2479,31,5558,18874
State Representative District 063,5384,7426,69,7346,24,20249,1019,554,28,1792,14,3407,23656
State Representative District 064,4049,9766,99,5622,23,19559,755,991,31,1863,8,3648,23207
State Representative District 065,6185,8610,115,6306,17,21233,785,756,28,1484,8,3061,24294
State Representative District 066,4571,8335,87,6899,12,19904,623,645,21,2070,5,3364,23268
State Representative District 067,4407,8124,100,7445,21,20097,553,620,19,1767,4,2963,23060
State Representative District 068,4227,7198,91,6471,19,18006,723,622,26,1875,12,3258,21264
State Representative District 069,5252,5926,96,6938,39,18251,1421,810,48,3038,17,5334,23585
State Representative District 070,4675,7994,103,6970,25,19767,898,868,26,2444,18,4254,24021
State Representative District 071,6931,4923,203,5065,37,17159,2054,961,70,2606,20,5711,22870
State Representative District 072,7277,6228,145,5318,34,19002,1291,796,63,1872,15,4037,23039
State Representative District 073,6269,6536,154,6813,25,19797,1175,1019,51,2069,10,4324,24121
State Representative District 074,6598,4985,147,5951,30,17711,1639,912,85,2359,23,5018,22729
State Representative District 075,6521,5835,146,6231,37,18770,1270,758,48,1906,11,3993,22763
State Representative District 076,5365,7819,148,6863,35,20230,944,762,33,1817,13,3569,23799
State Representative District 077,5622,3933,163,5425,40,15183,1941,829,63,2598,36,5467,20650
State Representative District 078,7333,3518,170,4858,51,15930,2559,940,74,2628,37,6238,22168
State Representative District 079,6665,4344,146,5685,33,16873,1759,833,68,2452,24,5136,22009
State Representative District 080,6460,6214,141,6121,43,18979,1482,994,65,2315,28,4884,23863
State Representative District 081,5505,5052,134,5827,34,16552,2261,1057,58,3706,22,7104,23656
State Representative District 082,4606,7661,114,6677,29,19087,887,794,33,2152,16,3882,22969
State Representative District 083,6082,7627,151,7009,15,20884,1224,950,50,2233,8,4465,25349
State Representative District 084,4456,8254,118,7285,22,20135,671,699,45,2052,5,3472,23607
State Representative District 085,8952,4837,159,7510,27,21485,1217,581,40,1690,19,3547,25032
State Representative District 086,9636,3179,117,6689,34,19655,2141,608,43,1945,25,4762,24417
State Representative District 087,4672,7599,116,4808,35,17230,1170,931,46,2179,18,4344,21574
State Representative District 088,3053,9487,126,4791,24,17481,826,1113,48,1944,7,3938,21419
State Representative District 089,9458,2314,116,5984,70,17942,3058,840,74,2756,28,6756,24698
State Representative District 090,11585,2950,117,6296,60,21008,2704,770,48,2045,16,5583,26591
State Representative District 091,5980,8546,149,7673,20,22368,786,700,31,1829,11,3357,25725
State Representative District 092,4791,7604,103,5581,24,18103,792,830,46,1935,12,3615,21718
State Representative District 093,5432,8220,131,7433,23,21239,1296,1316,57,2803,10,5482,26721
State Representative District 094,5407,7068,127,6760,33,19395,1480,1168,72,2941,14,5675,25070
State Representative District 095,3905,8763,126,6240,18,19052,949,980,34,2258,9,4230,23282
State Representative District 096,4358,6164,131,5785,44,16482,1477,1020,54,2702,28,5281,21763
State Representative District 097,5829,3730,137,5377,33,15106,2724,1026,85,4059,18,7912,23018
State Representative District 098,4982,4194,127,5629,41,14973,2583,1161,96,4103,34,7977,22950
State Representative District 099,6071,5628,155,5945,39,17838,1739,921,49,2566,18,5293,23131
State Representative District 100,5497,5995,104,5700,19,17315,1382,839,40,2465,20,4746,22061
Totals,"529,607","720,798","13,032","590,161","2,861","1,856,459","126,137","91,356","4,624","212,115","1,563","435,795","2,292,254"
