State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 084,4268,7058,89,6379,18,17812,1043,1219,67,3143,14,5486,23298
State Representative District 085,7753,4104,108,5655,14,17634,2057,1117,73,2978,22,6247,23881
State Representative District 086,8013,2546,75,4629,22,15285,3267,968,58,3086,31,7410,22695
State Representative District 087,4238,6445,82,3672,28,14465,1720,1667,60,3282,30,6759,21224
State Representative District 088,2759,7969,89,3489,12,14318,1301,2130,76,3134,12,6653,20971
State Representative District 089,7586,1531,59,3574,39,12789,4229,1119,101,3818,41,9308,22097
State Representative District 090,9748,2041,74,3786,36,15685,3714,1078,65,2960,26,7843,23528
State Representative District 091,5293,7418,108,6108,17,18944,1390,1393,59,3168,16,6026,24970
State Representative District 092,4219,6621,69,4136,18,15063,1345,1593,81,3080,16,6115,21178
State Representative District 093,4921,7450,101,6370,21,18863,1691,1744,74,3534,12,7055,25918
State Representative District 094,4873,6384,89,5805,25,17176,1903,1493,85,3638,23,7142,24318
State Representative District 095,3361,7500,73,4713,8,15655,1619,1810,66,3719,14,7228,22883
State Representative District 096,3590,5238,70,3822,28,12748,2394,1706,95,4159,45,8399,21147
State Representative District 097,5004,3053,83,4134,26,12300,3418,1322,117,4832,26,9715,22015
State Representative District 098,4361,3559,91,4454,23,12488,3204,1438,115,4960,51,9768,22256
State Representative District 099,5214,4639,94,4364,25,14336,2731,1596,85,3893,25,8330,22666
State Representative District 100,4874,4754,77,4162,9,13876,2185,1410,73,3708,24,7400,21276
Totals,"460,960","613,810","8,572","450,819","1,910","1,536,071","191,437","155,707","7,198","321,072","2,346","677,760","2,213,831"
