State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 078,6631,2990,118,3694,35,13468,3162,1189,96,3214,46,7707,21175
State Representative District 079,6187,3861,86,4516,27,14677,2306,1081,100,3172,30,6689,21366
State Representative District 080,5891,5754,97,5095,34,16871,1906,1256,88,2919,31,6200,23071
State Representative District 081,4769,4374,90,4653,18,13904,2857,1366,81,4543,29,8876,22780
State Representative District 082,4088,6534,85,5116,17,15840,1437,1360,49,3250,22,6118,21958
State Representative District 083,5694,6991,108,5939,12,18744,1528,1211,64,2896,12,5711,24455
State Representative District 084,4345,7019,84,6238,15,17701,1044,1237,69,3205,14,5569,23270
State Representative District 085,7798,4122,103,5512,12,17547,2019,1096,74,2938,21,6148,23695
State Representative District 086,8201,2579,73,4481,24,15358,3129,949,55,3029,30,7192,22550
State Representative District 087,4330,6403,76,3547,26,14382,1728,1689,61,3311,30,6819,21201
State Representative District 088,2811,7960,84,3429,11,14295,1316,2143,75,3168,13,6715,21010
State Representative District 089,7870,1596,62,3544,41,13113,4032,1101,105,3764,40,9042,22155
State Representative District 090,9941,2099,76,3775,32,15923,3588,1064,61,2923,26,7662,23585
State Representative District 091,5333,7421,104,5907,18,18783,1371,1401,60,3165,17,6014,24797
State Representative District 092,4222,6633,68,4024,17,14964,1364,1607,80,3120,16,6187,21151
State Representative District 093,4943,7469,89,6129,20,18650,1664,1712,72,3511,12,6971,25621
State Representative District 094,4897,6393,77,5632,23,17022,1898,1494,88,3660,24,7164,24186
State Representative District 095,3407,7488,73,4574,8,15550,1663,1825,64,3769,13,7334,22884
State Representative District 096,3644,5227,72,3756,28,12727,2394,1676,90,4160,45,8365,21092
State Representative District 097,5069,3105,90,3931,22,12217,3449,1339,115,4851,28,9782,21999
State Representative District 098,4393,3537,83,4276,20,12309,3226,1446,111,5021,50,9854,22163
State Representative District 099,5287,4673,93,4080,24,14157,2781,1597,83,3977,27,8465,22622
State Representative District 100,4987,4640,75,4070,9,13781,2213,1416,74,3719,25,7447,21228
Totals,"466,945","612,144","8,350","439,066","1,827","1,528,332","191,010","155,870","7,186","322,786","2,377","679,229","2,207,561"
