State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 080,"5,555","7,232","6,785",66,"19,638",374,327,632,4,"1,337","20,975"
State Representative District 081,"7,452","4,599","5,844",80,"17,975",588,287,715,3,"1,593","19,568"
State Representative District 082,"6,527","6,775","5,913",126,"19,341",430,327,682,16,"1,455","20,796"
State Representative District 083,"8,061","3,546","6,581",90,"18,278",713,307,969,5,"1,994","20,272"
State Representative District 084,"4,569","7,378","7,286",73,"19,306",436,397,822,3,"1,658","20,964"
State Representative District 085,"13,083","4,336","7,640",262,"25,321","2,578","1,235","3,097",64,"6,974","32,295"
State Representative District 086,"10,924","3,467","6,707",238,"21,336","1,865",837,"2,269",43,"5,014","26,350"
State Representative District 087,"8,502","4,392","6,588",115,"19,597",689,312,807,5,"1,813","21,410"
State Representative District 088,"5,673","6,545","7,352",73,"19,643",344,301,654,2,"1,301","20,944"
State Representative District 089,"7,508","4,797","8,474",140,"20,919",718,372,934,6,"2,030","22,949"
State Representative District 090,"8,101","3,052","7,765",173,"19,091",880,318,"1,077",13,"2,288","21,379"
State Representative District 091,"5,985","6,090","7,351",82,"19,508",602,551,"1,066",1,"2,220","21,728"
State Representative District 092,"6,011","6,220","8,532",125,"20,888",496,379,910,5,"1,790","22,678"
State Representative District 093,"7,330","6,435","7,933",141,"21,839",766,611,"1,156",17,"2,550","24,389"
State Representative District 094,"6,254","9,147","9,281",157,"24,839",607,708,"1,116",6,"2,437","27,276"
State Representative District 095,"6,211","6,377","7,918",110,"20,616",548,358,836,13,"1,755","22,371"
State Representative District 096,"4,406","6,598","8,259",49,"19,312",147,173,411,1,732,"20,044"
State Representative District 097,"5,723","7,010","9,345",101,"22,179",304,292,623,4,"1,223","23,402"
State Representative District 098,"6,712","4,229","8,155",70,"19,166",695,248,965,6,"1,914","21,080"
State Representative District 099,"9,439","5,424","6,995",117,"21,975",644,388,777,9,"1,818","23,793"
State Representative District 100,"8,437","4,226","6,358",139,"19,160",795,315,842,16,"1,968","21,128"
Totals,"634,744","671,712","717,790","11,810","2,036,056","50,040","37,077","74,344",819,"162,280","2,198,336"
