County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Grundy,"1,368","4,057",19,"3,063",7,"8,514",56,101,4,186,0,347,"8,861"
Guthrie,"1,634","2,788",32,"2,893",2,"7,349",143,182,1,365,0,691,"8,040"
Hamilton,"2,310","4,005",31,"3,428",9,"9,783",99,102,2,255,0,458,"10,241"
Hancock,"1,441","3,295",11,"2,756",7,"7,510",58,80,2,200,0,340,"7,850"
Hardin,"2,484","4,679",41,"3,883",10,"11,097",106,152,2,245,1,506,"11,603"
Harrison,"2,083","3,800",35,"2,642",14,"8,574",32,58,1,73,1,165,"8,739"
Henry,"2,630","5,047",44,"4,836",10,"12,567",267,237,2,570,1,"1,077","13,644"
Howard,"1,691","1,465",14,"2,668",1,"5,839",76,46,0,182,0,304,"6,143"
Humboldt,"1,187","2,659",15,"2,415",1,"6,277",62,76,2,155,0,295,"6,572"
Ida,785,"2,241",14,"1,690",3,"4,733",24,53,0,99,0,176,"4,909"
Iowa,"2,613","3,906",42,"4,842",5,"11,408",100,130,0,270,0,500,"11,908"
Jackson,"4,895","3,167",27,"5,631",8,"13,728",198,116,2,404,1,721,"14,449"
Jasper,"8,269","7,359",62,"8,634",16,"24,340",300,224,2,511,1,"1,038","25,378"
Jefferson,"3,875","3,360",46,"3,023",46,"10,350",249,121,7,316,7,700,"11,050"
Johnson,"42,996","19,124",636,"29,378",223,"92,357","5,125","2,503",82,"6,049",47,"13,806","106,163"
Jones,"3,136","3,795",22,"6,003",7,"12,963",106,85,2,327,1,521,"13,484"
Keokuk,"1,857","2,390",13,"2,243",4,"6,507",108,73,0,169,0,350,"6,857"
Kossuth,"2,984","3,508",21,"4,305",8,"10,826",117,130,1,308,0,556,"11,382"
Lee,"9,028","4,451",86,"7,995",26,"21,586",620,293,11,943,0,"1,867","23,453"
Linn,"50,131","38,628",974,"50,833",314,"140,880","2,748","1,520",62,"3,483",18,"7,831","148,711"
Louisa,"1,627","2,486",15,"2,603",5,"6,736",139,122,0,308,1,570,"7,306"
Lucas,"1,255","2,276",13,"1,986",2,"5,532",58,103,0,164,1,326,"5,858"
Lyon,850,"5,454",11,"1,657",2,"7,974",98,191,2,190,0,481,"8,455"
Madison,"2,637","4,329",36,"3,738",10,"10,750",124,182,3,290,1,600,"11,350"
Mahaska,"2,480","6,875",58,"4,314",14,"13,741",299,268,3,552,0,"1,122","14,863"
Marion,"5,181","9,523",68,"7,671",19,"22,462",260,362,7,545,0,"1,174","23,636"
Marshall,"7,042","7,474",66,"8,811",24,"23,417",364,268,4,650,0,"1,286","24,703"
Mills,"1,969","5,051",55,"3,026",18,"10,119",149,218,3,334,1,705,"10,824"
Mitchell,"1,624","2,534",7,"2,737",5,"6,907",95,89,1,196,0,381,"7,288"
Monona,"1,690","2,063",14,"2,215",6,"5,988",57,54,1,100,0,212,"6,200"
Monroe,"1,496","1,719",10,"1,566",0,"4,791",63,55,1,98,1,218,"5,009"
Montgomery,"1,017","3,621",14,"2,179",7,"6,838",50,112,1,171,0,334,"7,172"
Muscatine,"7,889","8,096",81,"10,195",41,"26,302",853,741,5,"1,510",0,"3,109","29,411"
O'Brien,"1,153","5,726",25,"2,387",8,"9,299",85,151,3,187,1,427,"9,726"
Osceola,462,"2,514",3,"1,129",4,"4,112",27,84,0,104,1,216,"4,328"
Page,"1,458","5,114",24,"2,756",11,"9,363",102,183,5,291,0,581,"9,944"
Palo Alto,"1,977","1,795",17,"2,268",3,"6,060",71,32,0,97,0,200,"6,260"
Plymouth,"3,010","8,347",53,"5,360",25,"16,795",140,237,2,288,0,667,"17,462"
Pocahontas,925,"2,048",14,"1,882",4,"4,873",81,91,2,218,0,392,"5,265"
Polk,"110,684","86,080","2,009","85,981",546,"285,300","5,916","3,454",107,"5,894",31,"15,402","300,702"
Pottawattamie,"15,349","21,199",367,"19,712",113,"56,740","2,014","1,726",34,"3,068",14,"6,856","63,596"
Poweshiek,"4,057","3,709",43,"4,802",10,"12,621",625,129,7,596,4,"1,361","13,982"
Ringgold,819,"1,538",6,778,0,"3,141",36,35,0,59,0,130,"3,271"
Sac,"1,240","3,121",11,"2,446",5,"6,823",58,96,0,191,0,345,"7,168"
Scott,"35,803","32,255",614,"45,735",178,"114,585","2,895","1,868",55,"4,286",17,"9,121","123,706"
Shelby,"1,724","3,600",20,"2,665",3,"8,012",65,100,2,133,1,301,"8,313"
Sioux,"1,706","15,447",50,"3,973",20,"21,196",118,473,3,324,0,918,"22,114"
Story,"19,025","18,038",537,"22,942",157,"60,699","2,025","1,485",70,"3,116",21,"6,717","67,416"
Tama,"3,051","3,387",27,"4,691",7,"11,163",140,86,1,303,0,530,"11,693"
Taylor,674,"1,883",21,"1,238",0,"3,816",48,83,1,120,0,252,"4,068"
Union,"1,663","2,732",22,"3,255",5,"7,677",80,96,0,265,0,441,"8,118"
Van Buren,959,"2,086",11,"1,592",9,"4,657",42,45,4,101,1,193,"4,850"
Wapello,"8,114","5,427",60,"6,837",38,"20,476",535,247,3,763,1,"1,549","22,025"
Warren,"9,525","11,650",147,"11,593",23,"32,938",436,460,8,807,3,"1,714","34,652"
Washington,"2,958","6,142",68,"4,964",28,"14,160",133,172,3,352,1,661,"14,821"
Wayne,914,"1,444",10,"1,242",2,"3,612",37,63,1,70,0,171,"3,783"
Webster,"7,676","6,811",81,"8,542",40,"23,150",483,291,3,800,1,"1,578","24,728"
Winnebago,"1,493","2,834",19,"2,913",5,"7,264",156,117,1,308,0,582,"7,846"
Winneshiek,"3,975","4,419",28,"5,215",22,"13,659",249,127,3,433,2,814,"14,473"
Woodbury,"17,692","20,355",211,"19,058",79,"57,395","1,374","1,042",19,"1,801",8,"4,244","61,639"
Worth,"1,337","1,960",5,"2,020",1,"5,323",96,74,2,213,0,385,"5,708"
Wright,"1,811","3,398",23,"2,600",8,"7,840",99,111,2,212,1,425,"8,265"
Totals,"612,164","657,365","9,201","705,277","2,901","1,986,908","40,722","29,470",695,"61,902",247,"133,036","2,119,944"
