state_representative_district,district_num,party,voter_classification,reg_total,reg_party,candidate,gen_total,gen_party,gen_vote_pct,gen_winning_party,gen_margin,gen_margin_category,gen_competitive,prim_voters,prim_margin,prim_margin_category
State Representative District 015,15,Dem,Outnumbered,23947,4964,Benjamin Schauer,18481,5655,0.30598993560954496,Rep,0.3863427303717331,20% or more,FALSE,276,0.9855072463768115,Uncontested
State Representative District 015,15,Rep,Unneeded,23947,12396,Matt W. Windschitl,18481,12795,0.6923326659812781,Rep,0.3863427303717331,20% or more,FALSE,1792,0.9508928571428572,Uncontested
State Representative District 015,15,No Party,Excluded,23947,6352,NA,18481,NA,NA,Rep,0.3863427303717331,20% or more,FALSE,NA,NA,NA
State Representative District 015,15,Lib,Excluded,23947,195,NA,18481,NA,NA,Rep,0.3863427303717331,20% or more,FALSE,1,NA,No Candidates
State Representative District 015,15,Other,Excluded,23947,40,NA,18481,NA,NA,Rep,0.3863427303717331,20% or more,FALSE,NA,NA,NA
State Representative District 016,16,Dem,Outnumbered,24859,4219,Candella Foley-Finchem,17172,4265,0.24836943862101094,Rep,0.5014558583740975,20% or more,FALSE,293,0.9863481228668942,Uncontested
State Representative District 016,16,Rep,Unneeded,24859,13649,David Sieck,17172,12876,0.7498252969951084,Rep,0.5014558583740975,20% or more,FALSE,2329,0.9682267067410906,Uncontested
State Representative District 016,16,No Party,Excluded,24859,6681,NA,17172,NA,NA,Rep,0.5014558583740975,20% or more,FALSE,NA,NA,NA
State Representative District 016,16,Lib,Excluded,24859,264,NA,17172,NA,NA,Rep,0.5014558583740975,20% or more,FALSE,5,NA,No Candidates
State Representative District 016,16,Other,Excluded,24859,46,NA,17172,NA,NA,Rep,0.5014558583740975,20% or more,FALSE,NA,NA,NA
State Representative District 017,17,Dem,Outnumbered,21864,3573,NA,12847,NA,NA,Rep,0.9674632209854441,Uncontested,FALSE,30,NA,No Candidates
State Representative District 017,17,Rep,Unneeded,21864,11249,Devon Wood,12847,12638,0.9837316104927221,Rep,0.9674632209854441,Uncontested,FALSE,2319,0.9741267787839587,Uncontested
State Representative District 017,17,No Party,Excluded,21864,6883,NA,12847,NA,NA,Rep,0.9674632209854441,Uncontested,FALSE,NA,NA,NA
State Representative District 017,17,Lib,Excluded,21864,135,NA,12847,NA,NA,Rep,0.9674632209854441,Uncontested,FALSE,1,NA,No Candidates
State Representative District 017,17,Other,Excluded,21864,24,NA,12847,NA,NA,Rep,0.9674632209854441,Uncontested,FALSE,NA,NA,NA
State Representative District 018,18,Dem,Outnumbered,23148,3626,Tripp Narup,15149,3938,0.2599511518912139,Rep,0.4770611921578983,20% or more,FALSE,26,NA,No Candidates
State Representative District 018,18,Rep,Unneeded,23148,12459,Thomas Jay Moore,15149,11165,0.7370123440491122,Rep,0.4770611921578983,20% or more,FALSE,1920,0.984375,Uncontested
State Representative District 018,18,No Party,Excluded,23148,6872,NA,15149,NA,NA,Rep,0.4770611921578983,20% or more,FALSE,NA,NA,NA
State Representative District 018,18,Lib,Excluded,23148,150,NA,15149,NA,NA,Rep,0.4770611921578983,20% or more,FALSE,3,NA,No Candidates
State Representative District 018,18,Other,Excluded,23148,41,NA,15149,NA,NA,Rep,0.4770611921578983,20% or more,FALSE,NA,NA,NA
State Representative District 019,19,Dem,Outnumbered,21616,6165,Roger Petersen,13246,5469,0.4128793598067341,Rep,0.17227842367507168,15-20%,FALSE,243,0.9753086419753085,Uncontested
State Representative District 019,19,Rep,Unneeded,21616,7809,Brent Siegrist,13246,7751,0.5851577834818058,Rep,0.17227842367507168,15-20%,FALSE,654,0.9785932721712538,Uncontested
State Representative District 019,19,No Party,Excluded,21616,7280,NA,13246,NA,NA,Rep,0.17227842367507168,15-20%,FALSE,NA,NA,NA
State Representative District 019,19,Lib,Excluded,21616,275,NA,13246,NA,NA,Rep,0.17227842367507168,15-20%,FALSE,2,NA,No Candidates
State Representative District 019,19,Other,Excluded,21616,87,NA,13246,NA,NA,Rep,0.17227842367507168,15-20%,FALSE,NA,NA,NA
State Representative District 020,20,Dem,Meaningful (General),19932,6050,Josh Turek,11208,5881,0.5247144896502498,Dem,0.05005353319057815,5-10%,TRUE,242,0.9917355371900827,Uncontested
State Representative District 020,20,Rep,Meaningful (General),19932,6290,James Wassell,11208,5320,0.47466095645967166,Dem,0.05005353319057815,5-10%,TRUE,367,0.2070844686648502,20% or more
State Representative District 020,20,No Party,None-of-the-Above,19932,7187,NA,11208,NA,NA,Dem,0.05005353319057815,5-10%,TRUE,NA,NA,NA
State Representative District 020,20,Lib,None-of-the-Above,19932,305,NA,11208,NA,NA,Dem,0.05005353319057815,5-10%,TRUE,0,NA,No Candidates
State Representative District 020,20,Other,None-of-the-Above,19932,100,NA,11208,NA,NA,Dem,0.05005353319057815,5-10%,TRUE,NA,NA,NA
State Representative District 021,21,Dem,Outnumbered,23453,5956,Spencer A Waugh,17373,7166,0.412479134288839,Rep,0.1737178380245208,15-20%,FALSE,636,0.990566037735849,Uncontested
State Representative District 021,21,Rep,Unneeded,23453,9239,Brooke Boden,17373,10184,0.5861969723133598,Rep,0.1737178380245208,15-20%,FALSE,1514,0.9616908850726553,Uncontested
State Representative District 021,21,No Party,Excluded,23453,8030,NA,17373,NA,NA,Rep,0.1737178380245208,15-20%,FALSE,NA,NA,NA
State Representative District 021,21,Lib,Excluded,23453,183,NA,17373,NA,NA,Rep,0.1737178380245208,15-20%,FALSE,7,NA,No Candidates
State Representative District 021,21,Other,Excluded,23453,45,NA,17373,NA,NA,Rep,0.1737178380245208,15-20%,FALSE,NA,NA,NA
State Representative District 022,22,Dem,Outnumbered,25587,6633,Rory D. Taylor,20025,8134,0.40619225967540573,Rep,0.18611735330836454,15-20%,FALSE,719,0.9972183588317107,Uncontested
State Representative District 022,22,Rep,Meaningful (Primary),25587,10026,Samantha Fett,20025,11861,0.5923096129837703,Rep,0.18611735330836454,15-20%,FALSE,2210,0.10271493212669686,10-15%
State Representative District 022,22,No Party,Excluded,25587,8680,NA,20025,NA,NA,Rep,0.18611735330836454,15-20%,FALSE,NA,NA,NA
State Representative District 022,22,Lib,Excluded,25587,214,NA,20025,NA,NA,Rep,0.18611735330836454,15-20%,FALSE,7,NA,No Candidates
State Representative District 022,22,Other,Excluded,25587,34,NA,20025,NA,NA,Rep,0.18611735330836454,15-20%,FALSE,NA,NA,NA
State Representative District 023,23,Dem,Outnumbered,23726,4460,Karen Varley,17812,4939,0.27728497642039074,Rep,0.4434089377947451,20% or more,FALSE,532,1,Uncontested
State Representative District 023,23,Rep,Unneeded,23726,10690,Ray Bubba Sorensen,17812,12837,0.7206939142151358,Rep,0.4434089377947451,20% or more,FALSE,1841,0.9750135795763173,Uncontested
State Representative District 023,23,No Party,Excluded,23726,8360,NA,17812,NA,NA,Rep,0.4434089377947451,20% or more,FALSE,NA,NA,NA
State Representative District 023,23,Lib,Excluded,23726,189,NA,17812,NA,NA,Rep,0.4434089377947451,20% or more,FALSE,1,NA,No Candidates
State Representative District 023,23,Other,Excluded,23726,27,NA,17812,NA,NA,Rep,0.4434089377947451,20% or more,FALSE,NA,NA,NA
State Representative District 024,24,Dem,Outnumbered,20881,4030,Sonya Hicks,14809,4873,0.32905665473698426,Rep,0.33952326288068063,20% or more,FALSE,534,0.9850187265917603,Uncontested
State Representative District 024,24,Rep,Meaningful (Primary),20881,10306,Sam Wengryn,14809,9901,0.6685799176176649,Rep,0.33952326288068063,20% or more,FALSE,3557,0.32864773685690185,20% or more
State Representative District 024,24,No Party,Excluded,20881,6365,NA,14809,NA,NA,Rep,0.33952326288068063,20% or more,FALSE,NA,NA,NA
State Representative District 024,24,Lib,Excluded,20881,147,NA,14809,NA,NA,Rep,0.33952326288068063,20% or more,FALSE,6,NA,No Candidates
State Representative District 024,24,Other,Excluded,20881,33,NA,14809,NA,NA,Rep,0.33952326288068063,20% or more,FALSE,NA,NA,NA
State Representative District 025,25,Dem,Outnumbered,19031,5993,Brenda Curran,12305,4321,0.3511580658268996,Rep,0.2967086550182853,20% or more,FALSE,374,0.9839572192513368,Uncontested
State Representative District 025,25,Rep,Unneeded,19031,6197,Hans Wilz,12305,7972,0.6478667208451849,Rep,0.2967086550182853,20% or more,FALSE,451,0.960088691796009,Uncontested
State Representative District 025,25,No Party,Excluded,19031,6681,NA,12305,NA,NA,Rep,0.2967086550182853,20% or more,FALSE,NA,NA,NA
State Representative District 025,25,Lib,Excluded,19031,120,NA,12305,NA,NA,Rep,0.2967086550182853,20% or more,FALSE,0,NA,No Candidates
State Representative District 025,25,Other,Excluded,19031,40,NA,12305,NA,NA,Rep,0.2967086550182853,20% or more,FALSE,NA,NA,NA
State Representative District 026,26,Dem,Outnumbered,21373,4331,Darcie Whitlow,15167,3658,0.2411815124942309,Rep,0.4737258521790729,20% or more,FALSE,102,NA,No Candidates
State Representative District 026,26,Rep,Unneeded,21373,10180,Austin Harris,15167,10843,0.7149073646733038,Rep,0.4737258521790729,20% or more,FALSE,2485,0.9694164989939638,Uncontested
State Representative District 026,26,No Party,Excluded,21373,6700,NA,15167,NA,NA,Rep,0.4737258521790729,20% or more,FALSE,NA,NA,NA
State Representative District 026,26,Lib,Excluded,21373,129,Donald Gier,15167,634,0.04180127909276719,Rep,0.4737258521790729,20% or more,FALSE,5,NA,No Candidates
State Representative District 026,26,Other,Excluded,21373,33,NA,15167,NA,NA,Rep,0.4737258521790729,20% or more,FALSE,NA,NA,NA
State Representative District 027,27,Dem,Unneeded,26955,7667,Kenan Judge,21333,11886,0.5571649557024329,Dem,0.11517367458866545,10-15%,FALSE,699,0.994277539341917,Uncontested
State Representative District 027,27,Rep,Outnumbered,26955,8995,Oliver Bardwell,21333,9429,0.4419912811137674,Dem,0.11517367458866545,10-15%,FALSE,647,0.9690880989180835,Uncontested
State Representative District 027,27,No Party,Excluded,26955,10047,NA,21333,NA,NA,Dem,0.11517367458866545,10-15%,FALSE,NA,NA,NA
State Representative District 027,27,Lib,Excluded,26955,224,NA,21333,NA,NA,Dem,0.11517367458866545,10-15%,FALSE,1,NA,No Candidates
State Representative District 027,27,Other,Excluded,26955,22,NA,21333,NA,NA,Dem,0.11517367458866545,10-15%,FALSE,NA,NA,NA
State Representative District 028,28,Dem,Meaningful (General),25071,6920,Laura Snider,19503,9095,0.46633851202379123,Rep,0.0659385735527867,5-10%,TRUE,759,0.9868247694334651,Uncontested
State Representative District 028,28,Rep,Meaningful (General),25071,8700,David Young,19503,10381,0.5322770855765779,Rep,0.0659385735527867,5-10%,TRUE,918,0.7777777777777777,20% or more
State Representative District 028,28,No Party,None-of-the-Above,25071,9194,NA,19503,NA,NA,Rep,0.0659385735527867,5-10%,TRUE,NA,NA,NA
State Representative District 028,28,Lib,None-of-the-Above,25071,220,NA,19503,NA,NA,Rep,0.0659385735527867,5-10%,TRUE,1,NA,No Candidates
State Representative District 028,28,Other,None-of-the-Above,25071,37,NA,19503,NA,NA,Rep,0.0659385735527867,5-10%,TRUE,NA,NA,NA
State Representative District 029,29,Dem,Unneeded,17368,7786,Brian Meyer,8303,7948,0.9572443695049981,Dem,0.9144887390099963,Uncontested,FALSE,507,0.9763313609467457,Uncontested
State Representative District 029,29,Rep,Outnumbered,17368,3528,NA,8303,NA,NA,Dem,0.9144887390099963,Uncontested,FALSE,18,NA,No Candidates
State Representative District 029,29,No Party,Excluded,17368,5832,NA,8303,NA,NA,Dem,0.9144887390099963,Uncontested,FALSE,NA,NA,NA
State Representative District 029,29,Lib,Excluded,17368,168,NA,8303,NA,NA,Dem,0.9144887390099963,Uncontested,FALSE,2,NA,No Candidates
State Representative District 029,29,Other,Excluded,17368,54,NA,8303,NA,NA,Dem,0.9144887390099963,Uncontested,FALSE,NA,NA,NA
State Representative District 030,30,Dem,Unneeded,18982,8669,Megan L. Srinivas,12045,7515,0.6239103362391034,Dem,0.25222083852220845,20% or more,FALSE,786,0.9821882951653944,Uncontested
State Representative District 030,30,Rep,Outnumbered,18982,3856,Jerry Cheevers,12045,4477,0.37168949771689497,Dem,0.25222083852220845,20% or more,FALSE,29,NA,No Candidates
State Representative District 030,30,No Party,Excluded,18982,6236,NA,12045,NA,NA,Dem,0.25222083852220845,20% or more,FALSE,NA,NA,NA
State Representative District 030,30,Lib,Excluded,18982,169,NA,12045,NA,NA,Dem,0.25222083852220845,20% or more,FALSE,2,NA,No Candidates
State Representative District 030,30,Other,Excluded,18982,52,NA,12045,NA,NA,Dem,0.25222083852220845,20% or more,FALSE,NA,NA,NA
State Representative District 031,31,Dem,Unneeded,24192,8744,Mary Lee Madison,12978,12465,0.9604715672676838,Dem,0.9209431345353676,Uncontested,FALSE,1323,0.9894179894179893,Uncontested
State Representative District 031,31,Rep,Outnumbered,24192,7423,NA,12978,NA,NA,Dem,0.9209431345353676,Uncontested,FALSE,30,NA,No Candidates
State Representative District 031,31,No Party,Excluded,24192,7753,NA,12978,NA,NA,Dem,0.9209431345353676,Uncontested,FALSE,NA,NA,NA
State Representative District 031,31,Lib,Excluded,24192,216,NA,12978,NA,NA,Dem,0.9209431345353676,Uncontested,FALSE,0,NA,No Candidates
State Representative District 031,31,Other,Excluded,24192,56,NA,12978,NA,NA,Dem,0.9209431345353676,Uncontested,FALSE,NA,NA,NA
State Representative District 032,32,Dem,Unneeded,22282,8984,Jennifer Konfrst,12337,11837,0.9594715084704547,Dem,0.9189430169409094,Uncontested,FALSE,1599,0.9887429643527204,Uncontested
State Representative District 032,32,Rep,Outnumbered,22282,6459,NA,12337,NA,NA,Dem,0.9189430169409094,Uncontested,FALSE,26,NA,No Candidates
State Representative District 032,32,No Party,Excluded,22282,6604,NA,12337,NA,NA,Dem,0.9189430169409094,Uncontested,FALSE,NA,NA,NA
State Representative District 032,32,Lib,Excluded,22282,183,NA,12337,NA,NA,Dem,0.9189430169409094,Uncontested,FALSE,2,NA,No Candidates
State Representative District 032,32,Other,Excluded,22282,52,NA,12337,NA,NA,Dem,0.9189430169409094,Uncontested,FALSE,NA,NA,NA
State Representative District 033,33,Dem,Unneeded,17629,8372,Ruth Ann Gaines,9395,7058,0.7512506652474721,Dem,0.5191059073975519,20% or more,FALSE,626,0.9840255591054312,Uncontested
State Representative District 033,33,Rep,Outnumbered,17629,3023,NA,9395,NA,NA,Dem,0.5191059073975519,20% or more,FALSE,20,NA,No Candidates
State Representative District 033,33,No Party,Excluded,17629,5989,NA,9395,NA,NA,Dem,0.5191059073975519,20% or more,FALSE,NA,NA,NA
State Representative District 033,33,Lib,Excluded,17629,172,Toya S. Johnson,9395,2181,0.23214475784992017,Dem,0.5191059073975519,20% or more,FALSE,4,NA,No Candidates
State Representative District 033,33,Other,Excluded,17629,73,NA,9395,NA,NA,Dem,0.5191059073975519,20% or more,FALSE,NA,NA,NA
State Representative District 034,34,Dem,Meaningful (Primary),18214,9958,Rob Johnson,10180,7783,0.7645383104125737,Dem,0.5341846758349705,20% or more,FALSE,1777,0.02644907146876757,Less than 5%
State Representative District 034,34,Rep,Outnumbered,18214,2453,Danielle Duggan,10180,2345,0.23035363457760313,Dem,0.5341846758349705,20% or more,FALSE,88,0.9772727272727273,Uncontested
State Representative District 034,34,No Party,Excluded,18214,5534,NA,10180,NA,NA,Dem,0.5341846758349705,20% or more,FALSE,NA,NA,NA
State Representative District 034,34,Lib,Excluded,18214,188,NA,10180,NA,NA,Dem,0.5341846758349705,20% or more,FALSE,2,NA,No Candidates
State Representative District 034,34,Other,Excluded,18214,81,NA,10180,NA,NA,Dem,0.5341846758349705,20% or more,FALSE,NA,NA,NA
State Representative District 035,35,Dem,Unneeded,21985,10896,Sean Bagniewski,15924,10574,0.6640291384074353,Dem,0.3812484300427028,20% or more,FALSE,1733,0.9549913444893248,Uncontested
State Representative District 035,35,Rep,Outnumbered,21985,4347,Angela Kay Schreader,15924,4503,0.28278070836473246,Dem,0.3812484300427028,20% or more,FALSE,251,0.22310756972111556,20% or more
State Representative District 035,35,No Party,Excluded,21985,6476,NA,15924,NA,NA,Dem,0.3812484300427028,20% or more,FALSE,NA,NA,NA
State Representative District 035,35,Lib,Excluded,21985,211,David G. Green,15924,802,0.05036423009294147,Dem,0.3812484300427028,20% or more,FALSE,3,1,Uncontested
State Representative District 035,35,Other,Excluded,21985,55,NA,15924,NA,NA,Dem,0.3812484300427028,20% or more,FALSE,NA,NA,NA
State Representative District 036,36,Dem,Unneeded,23764,13150,Austin Baeth,13346,13031,0.9763974224486738,Dem,0.9527948448973476,Uncontested,FALSE,2358,0.9906700593723494,Uncontested
State Representative District 036,36,Rep,Outnumbered,23764,3845,NA,13346,NA,NA,Dem,0.9527948448973476,Uncontested,FALSE,26,NA,No Candidates
State Representative District 036,36,No Party,Excluded,23764,6504,NA,13346,NA,NA,Dem,0.9527948448973476,Uncontested,FALSE,NA,NA,NA
State Representative District 036,36,Lib,Excluded,23764,209,NA,13346,NA,NA,Dem,0.9527948448973476,Uncontested,FALSE,2,NA,No Candidates
