State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 039,8361,9255,9188,242,27046,473,584,703,39,1799,28845
State Representative District 040,7837,6608,6062,185,20692,397,363,433,20,1213,21905
State Representative District 041,12653,3617,4421,205,20896,1105,400,752,38,2295,23191
State Representative District 042,7795,6286,6348,224,20653,637,506,691,25,1859,22512
State Representative District 043,8253,6171,5654,176,20254,600,422,569,26,1617,21871
State Representative District 044,8802,9814,11310,276,30202,763,977,1457,47,3244,33446
State Representative District 045,8850,4586,7108,294,20838,1351,768,1604,84,3807,24645
State Representative District 046,8500,4990,7651,237,21378,1169,761,1679,71,3680,25058
State Representative District 047,5801,6753,7515,159,20228,328,376,807,17,1528,21756
State Representative District 048,5442,7481,7736,150,20809,245,325,615,18,1203,22012
State Representative District 049,5075,7479,7824,197,20575,259,363,513,23,1158,21733
State Representative District 050,3973,8810,6958,98,19839,202,377,510,8,1097,20936
State Representative District 051,4799,6219,7953,80,19051,312,306,734,6,1358,20409
State Representative District 052,5388,5379,8516,85,19368,396,301,816,11,1524,20892
State Representative District 053,6334,4256,8380,81,19051,405,319,905,8,1637,20688
State Representative District 054,3919,8001,7271,98,19289,213,367,577,4,1161,20450
State Representative District 055,5952,6217,6737,86,18992,571,313,808,18,1710,20702
State Representative District 056,4689,7091,6997,92,18869,319,303,585,9,1216,20085
State Representative District 057,8071,7419,7527,111,23128,248,288,471,5,1012,24140
State Representative District 058,6563,5336,9248,55,21202,276,208,640,6,1130,22332
State Representative District 059,7162,5184,6789,178,19313,728,540,1198,30,2496,21809
State Representative District 060,7162,7004,7462,147,21775,534,523,775,20,1852,23627
State Representative District 061,7034,3772,6208,173,17187,619,279,679,28,1605,18792
State Representative District 062,8028,2485,5626,176,16315,643,191,599,10,1443,17758
State Representative District 063,5235,6437,9013,125,20810,323,328,755,15,1421,22231
State Representative District 064,5225,4594,8224,81,18124,253,159,641,10,1063,19187
State Representative District 065,9432,3808,5604,251,19095,668,237,581,25,1511,20606
State Representative District 066,8068,5362,6580,198,20208,464,309,557,20,1350,21558
State Representative District 067,7414,7117,7907,220,22658,345,445,574,20,1384,24042
State Representative District 068,7698,6144,8078,225,22145,366,347,534,21,1268,23413
State Representative District 069,8178,4310,7431,234,20153,518,291,658,32,1499,21652
State Representative District 070,8642,4629,7083,207,20561,468,289,509,30,1296,21857
State Representative District 071,5636,4604,5901,139,16280,404,305,764,13,1486,17766
State Representative District 072,4995,6393,8039,95,19522,239,256,582,6,1083,20605
State Representative District 073,6607,6116,7839,128,20690,311,292,535,20,1158,21848
State Representative District 074,10939,3534,5884,143,20500,1366,465,1051,42,2924,23424
State Representative District 075,4669,6611,8530,120,19930,240,286,607,12,1145,21075
State Representative District 076,6315,6638,8336,108,21397,692,314,726,20,1752,23149
State Representative District 077,9261,5609,8716,187,23773,598,507,823,30,1958,25731
State Representative District 078,4712,7338,7042,128,19220,295,362,626,21,1304,20524
State Representative District 079,3567,9803,5954,116,19440,415,587,851,13,1866,21306
State Representative District 080,4884,7178,6496,103,18661,340,375,783,15,1513,20174
State Representative District 081,6641,4370,5599,81,16691,548,311,785,7,1651,18342
State Representative District 082,6504,6326,5690,136,18656,491,326,642,19,1478,20134
State Representative District 083,7263,3569,6490,121,17443,592,294,966,22,1874,19317
State Representative District 084,4262,7041,7063,96,18462,321,405,795,11,1532,19994
State Representative District 085,13005,2768,5079,156,21008,3228,1443,2989,116,7776,28784
State Representative District 086,10702,2355,5052,170,18279,2601,1047,2547,88,6283,24562
State Representative District 087,7953,4216,6623,152,18944,609,263,767,18,1657,20601
State Representative District 088,5566,6317,7466,86,19435,241,241,503,11,996,20431
State Representative District 089,7057,4252,8319,168,19796,767,359,1033,19,2178,21974
State Representative District 090,7039,2688,7335,191,17253,1260,410,1524,45,3239,20492
State Representative District 091,5879,5681,7257,114,18931,435,381,805,15,1636,20567
State Representative District 092,5833,5845,8918,147,20743,609,428,951,24,2012,22755
State Representative District 093,7407,5691,8052,193,21343,865,591,1296,37,2789,24132
State Representative District 094,6868,8334,10099,155,25456,661,839,1262,39,2801,28257
State Representative District 095,6746,6612,8257,145,21760,354,268,483,16,1121,22881
State Representative District 096,4117,6407,8148,79,18751,190,238,557,9,994,19745
State Representative District 097,5548,6883,9310,130,21871,354,394,818,5,1571,23442
State Representative District 098,6122,4117,7885,80,18204,600,261,954,14,1829,20033
State Representative District 099,9552,5243,6125,159,21079,800,434,937,27,2198,23277
State Representative District 100,8081,4232,5709,151,18173,828,480,990,20,2318,20491
Totals,"642,875","633,593","703,927","14,769","1,995,164","52,065","40,899","77,173","2,110","172,247","2,167,411"
