State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 032,"7,617","2,594","4,549",76,"14,836",495,152,441,3,"1,091","15,927"
State Representative District 033,"8,096","3,102","4,920",77,"16,195",477,196,458,7,"1,138","17,333"
State Representative District 034,"8,588","3,539","5,488",88,"17,703",656,219,559,9,"1,443","19,146"
State Representative District 035,"7,414","2,200","4,292",80,"13,986",543,138,482,6,"1,169","15,155"
State Representative District 036,"9,179","5,100","5,995",115,"20,389",348,195,365,2,910,"21,299"
State Representative District 037,"5,833","9,392","7,643",103,"22,971",252,332,378,6,968,"23,939"
State Representative District 038,"6,395","6,897","6,634",82,"20,008",246,242,355,0,843,"20,851"
State Representative District 039,"5,845","9,243","7,702",93,"22,883",208,283,350,4,845,"23,728"
State Representative District 040,"6,471","7,622","6,168",71,"20,332",283,274,303,3,863,"21,195"
State Representative District 041,"9,859","4,975","5,512",124,"20,470",632,280,591,13,"1,516","21,986"
State Representative District 042,"6,378","7,294","6,423",106,"20,201",454,432,618,7,"1,511","21,712"
State Representative District 043,"6,888","7,751","5,864",76,"20,579",385,330,448,2,"1,165","21,744"
State Representative District 044,"4,799","8,460","9,532",74,"22,865",674,976,"1,530",1,"3,181","26,046"
State Representative District 045,"5,805","4,571","7,262",125,"17,763","1,562",919,"2,206",40,"4,727","22,490"
State Representative District 046,"5,633","4,844","7,457",146,"18,080","1,391",948,"2,148",44,"4,531","22,611"
State Representative District 047,"5,980","6,457","7,929",44,"20,410",332,356,795,2,"1,485","21,895"
State Representative District 048,"5,546","6,997","7,864",48,"20,455",353,386,791,2,"1,532","21,987"
State Representative District 049,"4,572","7,293","7,937",64,"19,866",306,337,679,4,"1,326","21,192"
State Representative District 050,"3,873","8,976","7,169",36,"20,054",375,358,793,2,"1,528","21,582"
State Representative District 051,"5,339","6,200","8,084",19,"19,642",358,259,745,1,"1,363","21,005"
State Representative District 052,"6,232","5,190","8,951",22,"20,395",315,235,656,2,"1,208","21,603"
State Representative District 053,"6,842","4,492","8,582",29,"19,945",527,303,934,1,"1,765","21,710"
State Representative District 054,"4,124","8,499","7,599",20,"20,242",271,324,703,1,"1,299","21,541"
State Representative District 055,"5,218","6,504","7,155",47,"18,924",943,374,"1,035",7,"2,359","21,283"
State Representative District 056,"4,975","7,065","7,412",31,"19,483",325,296,720,1,"1,342","20,825"
State Representative District 057,"7,516","6,068","8,403",36,"22,023",267,235,478,3,983,"23,006"
State Representative District 058,"7,277","4,803","8,882",29,"20,991",452,236,855,3,"1,546","22,537"
State Representative District 059,"5,572","5,238","8,161",122,"19,093",674,427,"1,107",22,"2,230","21,323"
State Representative District 060,"5,944","7,025","7,887",66,"20,922",560,394,814,7,"1,775","22,697"
State Representative District 061,"7,284","3,951","6,921",60,"18,216",549,248,710,0,"1,507","19,723"
State Representative District 062,"8,854","2,436","6,484",61,"17,835",688,168,685,2,"1,543","19,378"
State Representative District 063,"4,757","6,386","9,256",43,"20,442",422,317,875,4,"1,618","22,060"
State Representative District 064,"5,538","4,530","8,388",29,"18,485",294,176,640,2,"1,112","19,597"
State Representative District 065,"7,885","4,080","5,846",101,"17,912","1,781",580,"1,524",15,"3,900","21,812"
State Representative District 066,"6,559","5,797","6,819",84,"19,259","1,084",599,"1,292",14,"2,989","22,248"
State Representative District 067,"5,493","6,789","7,728",87,"20,097",772,716,"1,192",6,"2,686","22,783"
State Representative District 068,"6,309","6,026","7,775",94,"20,204",771,664,"1,133",16,"2,584","22,788"
State Representative District 069,"6,863","3,577","6,924",85,"17,449","1,420",572,"1,677",18,"3,687","21,136"
State Representative District 070,"7,722","4,622","7,141",67,"19,552","1,016",533,"1,121",9,"2,679","22,231"
State Representative District 071,"5,463","5,113","6,521",23,"17,120",564,430,893,2,"1,889","19,009"
State Representative District 072,"5,412","6,317","8,262",33,"20,024",381,287,853,0,"1,521","21,545"
State Representative District 073,"6,292","5,868","7,633",57,"19,850",426,324,775,3,"1,528","21,378"
State Representative District 074,"8,505","4,132","6,186",100,"18,923","1,535",595,"1,370",13,"3,513","22,436"
State Representative District 075,"5,104","5,972","8,990",38,"20,104",339,243,725,2,"1,309","21,413"
State Representative District 076,"5,647","6,588","8,847",61,"21,143","1,307",312,952,5,"2,576","23,719"
State Representative District 077,"7,628","5,401","8,024",74,"21,127",754,500,956,2,"2,212","23,339"
State Representative District 078,"4,794","7,303","7,098",45,"19,240",345,322,732,5,"1,404","20,644"
State Representative District 079,"3,707","9,294","6,602",49,"19,652",576,682,"1,050",4,"2,312","21,964"
State Representative District 080,"5,902","6,535","6,825",31,"19,293",466,388,805,2,"1,661","20,954"
State Representative District 081,"7,704","4,192","5,829",30,"17,755",668,319,733,4,"1,724","19,479"
State Representative District 082,"6,064","6,550","6,096",91,"18,801",598,464,"1,088",9,"2,159","20,960"
State Representative District 083,"8,424","3,222","6,667",41,"18,354",633,278,854,1,"1,766","20,120"
State Representative District 084,"4,443","7,215","7,317",31,"19,006",419,358,802,2,"1,581","20,587"
State Representative District 085,"10,924","4,029","9,028",227,"24,208","2,850","1,222","3,225",45,"7,342","31,550"
State Representative District 086,"9,454","3,209","7,459",143,"20,265","2,626","1,191","3,135",47,"6,999","27,264"
State Representative District 087,"8,665","3,989","6,485",39,"19,178",806,312,896,2,"2,016","21,194"
State Representative District 088,"5,707","6,059","6,997",31,"18,794",499,360,890,1,"1,750","20,544"
State Representative District 089,"7,131","4,505","8,525",61,"20,222",880,392,"1,221",4,"2,497","22,719"
State Representative District 090,"7,804","2,797","7,391",89,"18,081","1,378",440,"1,724",7,"3,549","21,630"
State Representative District 091,"5,556","5,942","7,539",34,"19,071",614,583,"1,057",0,"2,254","21,325"
State Representative District 092,"5,755","5,748","8,692",55,"20,250",838,490,"1,335",5,"2,668","22,918"
State Representative District 093,"6,844","6,278","8,234",77,"21,433",953,678,"1,519",10,"3,160","24,593"
State Representative District 094,"5,603","8,599","9,509",94,"23,805",665,654,"1,205",0,"2,524","26,329"
State Representative District 095,"6,018","6,115","8,040",81,"20,254",827,467,"1,141",13,"2,448","22,702"
State Representative District 096,"4,539","5,902","8,452",13,"18,906",258,236,669,0,"1,163","20,069"
State Representative District 097,"5,735","6,330","9,144",49,"21,258",429,354,840,2,"1,625","22,883"
State Representative District 098,"6,639","3,955","7,945",31,"18,570",931,329,"1,251",5,"2,516","21,086"
State Representative District 099,"8,898","5,079","7,232",73,"21,282",642,384,769,5,"1,800","23,082"
State Representative District 100,"8,170","3,750","6,491",63,"18,474",796,351,846,8,"2,001","20,475"
Totals,"604,160","623,350","718,136","5,872","1,951,518","62,248","42,203","93,927",586,"198,964","2,150,482"
