State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 041,13281,3948,4544,231,22004,546,169,328,16,1059,23063
State Representative District 042,8840,6800,6303,247,22190,250,207,271,15,743,22933
State Representative District 043,9209,6603,5436,207,21455,269,157,268,12,706,22161
State Representative District 044,11278,11836,11750,347,35211,307,321,562,20,1210,36421
State Representative District 045,9835,5192,7855,381,23263,585,313,643,44,1585,24848
State Representative District 046,8563,5074,7478,242,21357,421,267,560,31,1279,22636
State Representative District 047,6132,7794,7224,163,21313,119,146,307,9,581,21894
State Representative District 048,5853,8751,6973,167,21744,95,134,251,9,489,22233
State Representative District 049,5576,8295,7540,227,21638,109,137,201,11,458,22096
State Representative District 050,4516,9791,6378,128,20813,76,137,202,4,419,21232
State Representative District 051,5188,7366,7770,119,20443,122,141,295,3,561,21004
State Representative District 052,5714,6226,7983,125,20048,207,136,347,5,695,20743
State Representative District 053,6931,4891,8078,136,20036,176,135,418,1,730,20766
State Representative District 054,4352,8853,6891,128,20224,89,148,225,4,466,20690
State Representative District 055,6490,7122,6503,113,20228,239,119,311,6,675,20903
State Representative District 056,5025,7972,6686,117,19800,105,108,184,4,401,20201
State Representative District 057,8216,8575,7227,146,24164,128,145,219,3,495,24659
State Representative District 058,7079,6909,7985,91,22064,90,79,228,3,400,22464
State Representative District 059,7478,5436,6377,203,19494,275,207,413,8,903,20397
State Representative District 060,7980,7703,7171,168,23022,227,179,291,8,705,23727
State Representative District 061,7744,4413,5900,174,18231,213,103,256,14,586,18817
State Representative District 062,8716,2969,5449,180,17314,257,76,232,7,572,17886
State Representative District 063,5772,7463,8622,132,21989,99,102,232,6,439,22428
State Representative District 064,5614,5532,7820,101,19067,76,65,240,5,386,19453
State Representative District 065,10029,4272,5648,274,20223,376,150,338,14,878,21101
State Representative District 066,8708,5811,6691,262,21472,282,203,328,14,827,22299
State Representative District 067,8292,7844,7948,238,24322,210,267,325,15,817,25139
State Representative District 068,8486,6853,7855,244,23438,206,211,284,8,709,24147
State Representative District 069,8937,5082,7663,296,21978,277,176,377,25,855,22833
State Representative District 070,9282,5112,7023,265,21682,262,152,264,20,698,22380
State Representative District 071,6392,5169,5333,133,17027,122,106,281,6,515,17542
State Representative District 072,5389,7300,7429,146,20264,90,118,232,5,445,20709
State Representative District 073,7315,7334,7454,178,22281,151,105,219,11,486,22767
State Representative District 074,12418,4056,6430,214,23118,579,204,477,19,1279,24397
State Representative District 075,5059,7661,8142,155,21017,81,90,197,7,375,21392
State Representative District 076,6658,7716,7880,147,22401,414,122,275,9,820,23221
State Representative District 077,10745,6483,8883,239,26350,271,194,318,13,796,27146
State Representative District 078,5032,8249,6843,145,20269,103,126,201,11,441,20710
State Representative District 079,3877,10645,5939,167,20628,135,217,300,2,654,21282
State Representative District 080,4921,8450,6208,143,19722,110,130,240,7,487,20209
State Representative District 081,6669,5167,5636,124,17596,182,115,286,3,586,18182
State Representative District 082,6641,7676,5251,155,19723,184,115,210,6,515,20238
State Representative District 083,7336,4744,6180,154,18414,213,105,394,14,726,19140
State Representative District 084,4626,8019,6575,134,19354,242,294,592,12,1140,20494
State Representative District 085,13884,2987,5541,207,22619,1634,729,1493,69,3925,26544
State Representative District 086,11949,2808,5951,212,20920,1154,475,1109,38,2776,23696
State Representative District 087,8320,4961,6303,188,19772,202,88,247,8,545,20317
State Representative District 088,5837,7439,7012,122,20410,78,73,170,3,324,20734
State Representative District 089,7869,4922,7918,209,20918,461,221,629,10,1321,22239
State Representative District 090,7815,3270,7156,253,18494,634,249,833,28,1744,20238
State Representative District 091,6380,6553,7008,200,20141,146,128,301,9,584,20725
State Representative District 092,6603,6690,8513,191,21997,347,218,537,16,1118,23115
State Representative District 093,8497,6212,7686,230,22625,500,343,776,22,1641,24266
State Representative District 094,8198,9377,9639,196,27410,405,507,782,23,1717,29127
State Representative District 095,7239,7393,8053,181,22866,191,134,233,9,567,23433
State Representative District 096,4643,7418,7607,94,19762,57,97,202,4,360,20122
State Representative District 097,6181,8060,8636,180,23057,183,201,397,5,786,23843
State Representative District 098,6658,5132,7227,138,19155,276,124,433,5,838,19993
State Representative District 099,9920,5931,6134,225,22210,359,175,402,14,950,23160
State Representative District 100,8432,4935,5894,209,19470,342,204,445,7,998,20468
Totals,"698,869","724,937","681,916","18,440","2,124,162","22,878","17,400","32,866","1,054","74,198","2,198,360"
