State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 076,"5,584","6,535","8,760",64,"20,943",530,273,626,4,"1,433","22,376"
State Representative District 077,"7,472","5,334","7,923",80,"20,809",632,456,801,3,"1,892","22,701"
State Representative District 078,"4,719","7,223","7,014",48,"19,004",276,265,593,6,"1,140","20,144"
State Representative District 079,"3,608","9,152","6,473",51,"19,284",397,476,641,5,"1,519","20,803"
State Representative District 080,"5,813","6,453","6,726",33,"19,025",376,324,640,2,"1,342","20,367"
State Representative District 081,"7,568","4,124","5,756",30,"17,478",561,283,640,3,"1,487","18,965"
State Representative District 082,"5,949","6,456","5,975",90,"18,470",402,330,695,8,"1,435","19,905"
State Representative District 083,"8,286","3,184","6,580",44,"18,094",624,262,827,1,"1,714","19,808"
State Representative District 084,"4,317","7,083","7,137",31,"18,568",436,396,833,3,"1,668","20,236"
State Representative District 085,"10,597","3,887","8,762",228,"23,474","1,692",707,"1,755",30,"4,184","27,658"
State Representative District 086,"9,096","3,072","7,170",148,"19,486","1,370",610,"1,577",34,"3,591","23,077"
State Representative District 087,"8,522","3,907","6,342",40,"18,811",647,306,747,4,"1,704","20,515"
State Representative District 088,"5,658","5,961","6,958",34,"18,611",350,328,644,2,"1,324","19,935"
State Representative District 089,"7,015","4,445","8,387",64,"19,911",575,295,790,2,"1,662","21,573"
State Representative District 090,"7,615","2,746","7,264",94,"17,719",713,250,845,7,"1,815","19,534"
State Representative District 091,"5,506","5,842","7,472",33,"18,853",476,483,853,1,"1,813","20,666"
State Representative District 092,"5,692","5,677","8,590",66,"20,025",544,369,879,5,"1,797","21,822"
State Representative District 093,"6,690","6,133","8,046",84,"20,953",621,496,929,6,"2,052","23,005"
State Representative District 094,"5,502","8,381","9,342",102,"23,327",510,615,948,4,"2,077","25,404"
State Representative District 095,"5,967","6,111","8,021",83,"20,182",525,307,760,10,"1,602","21,784"
State Representative District 096,"4,460","5,841","8,343",15,"18,659",169,177,414,0,760,"19,419"
State Representative District 097,"5,649","6,277","9,058",52,"21,036",383,316,753,4,"1,456","22,492"
State Representative District 098,"6,500","3,883","7,859",30,"18,272",936,361,"1,254",5,"2,556","20,828"
State Representative District 099,"8,776","4,958","7,185",75,"20,994",569,372,696,7,"1,644","22,638"
State Representative District 100,"8,017","3,693","6,396",70,"18,176",627,278,647,8,"1,560","19,736"
Totals,"593,886","614,653","708,271","6,028","1,922,838","45,642","35,080","68,873",554,"150,149","2,072,987"
