State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 038,"7,307","7,594",207,"7,673",30,"22,811",331,341,16,411,6,"1,105","23,916"
State Representative District 039,"7,535","9,782",232,"9,094",30,"26,673",337,500,17,533,6,"1,393","28,066"
State Representative District 040,"7,380","7,116",191,"6,251",25,"20,963",336,309,8,365,2,"1,020","21,983"
State Representative District 041,"12,197","4,113",206,"4,829",37,"21,382",897,350,22,728,11,"2,008","23,390"
State Representative District 042,"7,657","6,873",222,"6,407",42,"21,201",477,428,8,576,0,"1,489","22,690"
State Representative District 043,"8,011","6,904",152,"5,840",37,"20,944",474,382,6,505,2,"1,369","22,313"
State Representative District 044,"7,838","10,272",276,"11,808",28,"30,222",486,796,18,"1,100",4,"2,404","32,626"
State Representative District 045,"8,067","5,079",293,"8,160",65,"21,664",946,584,33,"1,313",10,"2,886","24,550"
State Representative District 046,"7,528","5,445",243,"8,451",58,"21,725","1,076",723,41,"1,595",14,"3,449","25,174"
State Representative District 047,"5,806","6,940",155,"7,791",17,"20,709",265,311,8,672,0,"1,256","21,965"
State Representative District 048,"5,374","7,639",116,"7,834",31,"20,994",207,259,6,487,1,960,"21,954"
State Representative District 049,"4,929","7,655",184,"7,970",37,"20,775",257,290,11,463,0,"1,021","21,796"
State Representative District 050,"3,939","9,004",88,"7,056",13,"20,100",149,296,2,445,2,894,"20,994"
State Representative District 051,"4,897","6,539",67,"8,246",9,"19,758",281,234,2,633,0,"1,150","20,908"
State Representative District 052,"5,581","5,468",57,"8,740",23,"19,869",325,235,8,663,1,"1,232","21,101"
State Representative District 053,"6,422","4,572",63,"8,780",19,"19,856",358,240,4,714,3,"1,319","21,175"
State Representative District 054,"3,994","8,382",84,"7,459",11,"19,930",185,266,0,459,1,911,"20,841"
State Representative District 055,"5,894","6,540",62,"7,261",28,"19,785",381,209,6,607,5,"1,208","20,993"
State Representative District 056,"4,781","7,268",72,"7,217",16,"19,354",306,270,4,583,2,"1,165","20,519"
State Representative District 057,"7,936","6,731",109,"8,443",19,"23,238",184,201,1,368,1,755,"23,993"
State Representative District 058,"6,694","5,304",47,"9,371",11,"21,427",249,181,5,567,1,"1,003","22,430"
State Representative District 059,"6,538","5,324",200,"8,036",33,"20,131",594,442,18,"1,025",5,"2,084","22,215"
State Representative District 060,"6,812","7,187",152,"7,933",34,"22,118",477,478,10,679,5,"1,649","23,767"
State Representative District 061,"7,056","3,947",148,"6,433",42,"17,626",573,220,13,564,5,"1,375","19,001"
State Representative District 062,"8,278","2,506",151,"5,775",45,"16,755",659,163,6,553,0,"1,381","18,136"
State Representative District 063,"5,109","6,613",119,"9,153",11,"21,005",264,248,7,605,3,"1,127","22,132"
State Representative District 064,"5,191","4,682",71,"8,466",14,"18,424",216,118,5,567,1,907,"19,331"
State Representative District 065,"9,141","3,995",214,"6,221",57,"19,628",645,247,19,636,6,"1,553","21,181"
State Representative District 066,"7,560","5,567",180,"7,204",48,"20,559",466,279,14,519,4,"1,282","21,841"
State Representative District 067,"6,666","7,270",202,"8,468",34,"22,640",322,399,11,593,2,"1,327","23,967"
State Representative District 068,"7,159","6,240",212,"8,527",45,"22,183",354,305,17,555,4,"1,235","23,418"
State Representative District 069,"7,746","4,298",220,"7,796",57,"20,117",539,231,15,646,4,"1,435","21,552"
State Representative District 070,"8,330","4,744",216,"7,503",39,"20,832",486,253,13,560,5,"1,317","22,149"
State Representative District 071,"5,608","4,824",105,"6,052",28,"16,617",364,244,7,614,0,"1,229","17,846"
State Representative District 072,"5,096","6,531",91,"8,290",18,"20,026",218,183,3,499,0,903,"20,929"
State Representative District 073,"6,547","6,267",111,"8,080",26,"21,031",240,193,6,419,5,863,"21,894"
State Representative District 074,"10,199","3,857",158,"6,458",40,"20,712","1,177",439,21,978,9,"2,624","23,336"
State Representative District 075,"4,669","6,779",102,"8,747",19,"20,316",223,214,6,500,2,945,"21,261"
State Representative District 076,"6,078","6,845",110,"8,638",23,"21,694",763,260,7,847,4,"1,881","23,575"
State Representative District 077,"8,810","5,891",176,"8,998",30,"23,905",692,571,17,912,4,"2,196","26,101"
State Representative District 078,"4,663","7,589",111,"7,060",26,"19,449",243,275,5,546,1,"1,070","20,519"
State Representative District 079,"3,360","10,237",120,"6,153",15,"19,885",363,503,8,680,1,"1,555","21,440"
State Representative District 080,"5,178","7,248",83,"6,589",18,"19,116",326,316,7,687,2,"1,338","20,454"
State Representative District 081,"6,963","4,406",57,"5,604",26,"17,056",512,272,2,726,1,"1,513","18,569"
State Representative District 082,"6,580","6,426",101,"5,782",38,"18,927",425,267,13,614,12,"1,331","20,258"
State Representative District 083,"7,577","3,601",108,"6,718",19,"18,023",555,261,10,907,2,"1,735","19,758"
State Representative District 084,"4,312","7,228",89,"7,209",15,"18,853",317,345,6,746,2,"1,416","20,269"
State Representative District 085,"12,853","3,838",208,"7,526",60,"24,485","2,392","1,130",47,"2,788",17,"6,374","30,859"
State Representative District 086,"10,733","3,070",198,"6,872",59,"20,932","2,014",770,35,"2,190",17,"5,026","25,958"
State Representative District 087,"8,094","4,296",120,"6,619",34,"19,163",686,294,9,859,5,"1,853","21,016"
State Representative District 088,"5,534","6,382",75,"7,510",18,"19,519",249,238,4,523,3,"1,017","20,536"
State Representative District 089,"7,190","4,483",130,"8,694",40,"20,537",667,343,10,851,4,"1,875","22,412"
State Representative District 090,"7,259","2,830",149,"7,610",43,"17,891","1,118",354,25,"1,298",7,"2,802","20,693"
State Representative District 091,"5,762","5,836",81,"7,514",37,"19,230",478,345,6,807,0,"1,636","20,866"
State Representative District 092,"5,827","5,973",124,"8,991",31,"20,946",484,379,5,812,7,"1,687","22,633"
State Representative District 093,"7,133","6,080",150,"8,537",38,"21,938",738,542,26,"1,136",5,"2,447","24,385"
State Representative District 094,"6,401","8,817",152,"10,183",20,"25,573",587,743,19,"1,037",3,"2,389","27,962"
State Representative District 095,"6,397","6,485",145,"8,591",24,"21,642",278,213,6,438,1,936,"22,578"
State Representative District 096,"4,181","6,578",66,"8,203",15,"19,043",174,173,4,464,2,817,"19,860"
State Representative District 097,"5,502","6,979",97,"9,561",22,"22,161",277,318,3,611,0,"1,209","23,370"
State Representative District 098,"6,165","4,116",71,"8,161",22,"18,535",497,192,6,810,7,"1,512","20,047"
State Representative District 099,"9,427","5,077",160,"6,993",32,"21,689",648,354,13,717,7,"1,739","23,428"
State Representative District 100,"8,046","4,032",142,"6,588",40,"18,848",726,358,12,822,11,"1,929","20,777"
