State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 021,"3,653","8,359",53,"7,379",14,"19,458",244,378,2,774,0,"1,398","20,856"
State Representative District 022,"4,589","10,272",102,"6,859",22,"21,844",438,665,12,797,4,"1,916","23,760"
State Representative District 023,"3,687","9,864",84,"6,141",30,"19,806",145,193,2,327,1,668,"20,474"
State Representative District 024,"3,187","9,521",53,"5,468",13,"18,242",179,304,6,450,0,939,"19,181"
State Representative District 025,"5,598","8,542",91,"7,956",17,"22,204",288,374,6,574,2,"1,244","23,448"
State Representative District 026,"6,351","7,195",92,"7,412",16,"21,066",298,330,2,568,2,"1,200","22,266"
State Representative District 027,"4,571","6,580",58,"6,211",13,"17,433",284,273,6,533,1,"1,097","18,530"
State Representative District 028,"5,038","7,149",54,"7,298",17,"19,556",210,239,5,468,1,923,"20,479"
State Representative District 029,"7,324","5,694",60,"7,345",18,"20,441",272,203,2,469,1,947,"21,388"
State Representative District 030,"6,846","8,100",167,"7,720",34,"22,867",240,223,4,336,0,803,"23,670"
State Representative District 031,"7,597","4,760",124,"5,631",33,"18,145",290,170,5,324,2,791,"18,936"
State Representative District 032,"7,832","2,605",106,"4,639",37,"15,219",502,115,12,354,4,987,"16,206"
State Representative District 033,"8,069","3,171",100,"5,137",38,"16,515",541,193,9,419,2,"1,164","17,679"
State Representative District 034,"8,629","3,643",127,"5,358",44,"17,801",827,256,12,651,2,"1,748","19,549"
State Representative District 035,"7,456","2,162",96,"3,953",48,"13,715",632,163,8,504,3,"1,310","15,025"
State Representative District 036,"9,486","4,799",155,"5,947",54,"20,441",448,217,6,373,1,"1,045","21,486"
State Representative District 037,"6,915","10,709",220,"8,858",37,"26,739",254,397,14,426,1,"1,092","27,831"
State Representative District 038,"6,661","7,411",151,"7,034",30,"21,287",277,295,16,374,1,963,"22,250"
State Representative District 039,"6,604","9,750",166,"8,318",29,"24,867",404,582,17,614,4,"1,621","26,488"
State Representative District 040,"6,856","7,484",158,"6,096",23,"20,617",333,301,7,384,2,"1,027","21,644"
State Representative District 041,"11,041","4,574",152,"4,916",46,"20,729",842,303,13,690,11,"1,859","22,588"
State Representative District 042,"7,095","7,223",177,"6,407",38,"20,940",403,370,6,467,0,"1,246","22,186"
State Representative District 043,"7,238","7,281",103,"5,870",39,"20,531",436,341,6,464,2,"1,249","21,780"
State Representative District 044,"6,428","10,048",169,"10,935",25,"27,605",437,642,5,943,3,"2,030","29,635"
State Representative District 045,"7,252","5,160",218,"7,628",65,"20,323",813,510,26,"1,190",8,"2,547","22,870"
State Representative District 046,"6,765","5,622",192,"7,693",59,"20,331","1,109",790,37,"1,618",14,"3,568","23,899"
State Representative District 047,"5,653","6,939",87,"7,772",18,"20,469",261,281,6,625,0,"1,173","21,642"
State Representative District 048,"5,254","7,649",74,"7,513",29,"20,519",213,247,5,473,1,939,"21,458"
State Representative District 049,"4,681","7,599",138,"7,870",36,"20,324",231,276,11,437,0,955,"21,279"
State Representative District 050,"3,775","8,969",57,"7,188",13,"20,002",148,262,4,441,3,858,"20,860"
State Representative District 051,"4,948","6,521",26,"8,159",8,"19,662",257,212,3,572,0,"1,044","20,706"
State Representative District 052,"5,684","5,463",44,"8,637",19,"19,847",325,219,7,625,1,"1,177","21,024"
State Representative District 053,"6,393","4,639",39,"8,557",15,"19,643",329,184,2,631,3,"1,149","20,792"
State Representative District 054,"3,893","8,577",44,"7,378",10,"19,902",182,241,0,422,1,846,"20,748"
State Representative District 055,"5,495","6,593",50,"6,933",25,"19,096",367,185,4,558,4,"1,118","20,214"
State Representative District 056,"4,774","7,229",53,"7,078",12,"19,146",302,260,2,576,1,"1,141","20,287"
State Representative District 057,"7,758","6,610",78,"8,262",14,"22,722",168,160,0,313,1,642,"23,364"
State Representative District 058,"6,674","5,258",36,"9,064",13,"21,045",261,174,2,546,1,984,"22,029"
State Representative District 059,"6,086","5,541",126,"7,773",30,"19,556",555,363,19,970,5,"1,912","21,468"
State Representative District 060,"6,364","7,262",86,"7,706",39,"21,457",407,396,9,607,4,"1,423","22,880"
State Representative District 061,"6,969","3,996",80,"6,410",44,"17,499",498,195,13,500,5,"1,211","18,710"
State Representative District 062,"8,333","2,524",97,"5,866",49,"16,869",610,149,4,520,2,"1,285","18,154"
State Representative District 063,"4,907","6,711",68,"9,065",15,"20,766",247,222,6,566,1,"1,042","21,808"
State Representative District 064,"5,186","4,755",49,"8,398",14,"18,402",193,104,2,494,2,795,"19,197"
State Representative District 065,"8,650","4,081",145,"5,896",72,"18,844",598,220,12,592,3,"1,425","20,269"
State Representative District 066,"7,192","5,753",141,"6,943",52,"20,081",402,234,11,482,4,"1,133","21,214"
State Representative District 067,"6,213","7,352",140,"8,111",34,"21,850",311,326,6,535,1,"1,179","23,029"
State Representative District 068,"6,776","6,312",165,"8,149",45,"21,447",322,249,11,505,5,"1,092","22,539"
State Representative District 069,"7,337","4,180",160,"7,478",56,"19,211",505,187,12,565,3,"1,272","20,483"
State Representative District 070,"7,970","4,832",175,"7,361",41,"20,379",466,210,8,533,5,"1,222","21,601"
State Representative District 071,"5,405","4,923",47,"6,295",20,"16,690",305,203,4,519,0,"1,031","17,721"
State Representative District 072,"5,043","6,514",57,"8,232",16,"19,862",230,174,2,495,0,901,"20,763"
State Representative District 073,"6,246","6,318",84,"7,897",22,"20,567",239,184,8,402,5,838,"21,405"
State Representative District 074,"9,072","3,962",126,"5,895",41,"19,096","1,168",444,20,938,10,"2,580","21,676"
State Representative District 075,"4,618","6,868",69,"8,660",18,"20,233",202,214,4,515,0,935,"21,168"
State Representative District 076,"5,856","6,660",76,"8,391",17,"21,000",768,234,8,814,4,"1,828","22,828"
State Representative District 077,"8,141","5,905",145,"8,282",34,"22,507",677,492,9,865,3,"2,046","24,553"
State Representative District 078,"4,535","7,815",77,"6,870",29,"19,326",241,246,4,503,1,995,"20,321"
State Representative District 079,"3,357","10,117",78,"6,122",13,"19,687",356,474,6,654,0,"1,490","21,177"
State Representative District 080,"5,200","7,077",55,"6,615",16,"18,963",339,260,4,639,1,"1,243","20,206"
State Representative District 081,"6,975","4,422",48,"5,619",34,"17,098",496,234,1,681,0,"1,412","18,510"
State Representative District 082,"6,245","6,553",64,"5,765",58,"18,685",387,249,11,566,10,"1,223","19,908"
State Representative District 083,"7,716","3,516",74,"6,606",21,"17,933",533,247,9,840,1,"1,630","19,563"
State Representative District 084,"4,268","7,155",66,"7,093",14,"18,596",336,321,4,731,2,"1,394","19,990"
State Representative District 085,"12,306","3,919",184,"7,062",69,"23,540","2,127","1,067",42,"2,684",20,"5,940","29,480"
State Representative District 086,"9,921","3,113",150,"6,204",70,"19,458","1,877",748,27,"2,031",17,"4,700","24,158"
State Representative District 087,"8,117","4,269",85,"6,469",37,"18,977",657,268,5,755,4,"1,689","20,666"
State Representative District 088,"5,459","6,386",57,"7,291",16,"19,209",245,231,3,492,1,972,"20,181"
State Representative District 089,"7,071","4,578",104,"8,473",33,"20,259",593,289,6,755,4,"1,647","21,906"
State Representative District 090,"7,325","2,831",127,"7,492",46,"17,821",969,303,21,"1,140",4,"2,437","20,258"
State Representative District 091,"5,699","5,916",55,"7,303",32,"19,005",446,319,4,750,0,"1,519","20,524"
State Representative District 092,"5,797","6,059",99,"8,722",33,"20,710",398,303,4,693,4,"1,402","22,112"
State Representative District 093,"7,041","6,265",119,"8,242",38,"21,705",614,449,13,960,6,"2,042","23,747"
State Representative District 094,"6,027","8,894",129,"9,644",34,"24,728",515,609,18,919,1,"2,062","26,790"
State Representative District 095,"6,091","6,419",98,"8,259",25,"20,892",262,189,6,416,2,875,"21,767"
State Representative District 096,"4,186","6,449",42,"8,216",11,"18,904",169,143,4,445,2,763,"19,667"
State Representative District 097,"5,474","6,798",77,"9,411",24,"21,784",248,263,5,518,0,"1,034","22,818"
State Representative District 098,"6,308","4,095",43,"8,047",29,"18,522",450,166,6,690,2,"1,314","19,836"
State Representative District 099,"8,932","5,234",94,"6,911",31,"21,202",585,313,9,619,4,"1,530","22,732"
State Representative District 100,"7,973","4,063",100,"6,241",42,"18,419",683,311,10,763,8,"1,775","20,194"
Totals,"605,607","653,459","9,412","713,749","2,926","1,985,153","42,861","30,777",786,"63,712",279,"138,415","2,123,568"
