State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 083,"7,316","4,197","5,887",115,"17,515",583,296,954,22,"1,855","19,370"
State Representative District 084,"4,641","7,650","6,196",100,"18,587",309,394,780,11,"1,494","20,081"
State Representative District 085,"13,395","2,808","4,506",149,"20,858","3,106","1,408","2,941",116,"7,571","28,429"
State Representative District 086,"11,153","2,485","4,620",155,"18,413","2,510","1,024","2,463",82,"6,079","24,492"
State Representative District 087,"8,296","4,713","5,880",144,"19,033",605,257,756,17,"1,635","20,668"
State Representative District 088,"5,828","7,081","6,566",88,"19,563",234,236,489,10,969,"20,532"
State Representative District 089,"7,645","4,595","7,591",162,"19,993",755,355,"1,019",18,"2,147","22,140"
State Representative District 090,"7,462","2,956","6,841",187,"17,446","1,250",405,"1,502",46,"3,203","20,649"
State Representative District 091,"6,217","6,247","6,488",135,"19,087",431,371,780,15,"1,597","20,684"
State Representative District 092,"6,337","6,262","8,218",138,"20,955",605,415,938,23,"1,981","22,936"
State Representative District 093,"8,099","6,037","7,321",186,"21,643",847,579,"1,272",36,"2,734","24,377"
State Representative District 094,"7,700","8,907","9,104",163,"25,874",645,822,"1,249",37,"2,753","28,627"
State Representative District 095,"7,122","7,104","7,554",139,"21,919",342,261,472,14,"1,089","23,008"
State Representative District 096,"4,605","7,069","7,140",71,"18,885",185,234,544,9,972,"19,857"
State Representative District 097,"6,053","7,604","8,310",130,"22,097",345,390,798,5,"1,538","23,635"
State Representative District 098,"6,497","4,827","6,957",84,"18,365",592,257,936,15,"1,800","20,165"
State Representative District 099,"9,831","5,550","5,661",153,"21,195",792,431,917,30,"2,170","23,365"
State Representative District 100,"8,281","4,511","5,347",150,"18,289",806,474,971,21,"2,272","20,561"
Totals,"681,389","683,888","633,419","13,856","2,012,552","50,473","39,661","75,030","2,040","167,204","2,179,756"
