State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 039,"5,685","9,035","7,319",67,"22,106",258,320,390,4,972,"23,078"
State Representative District 040,"6,380","7,592","5,953",46,"19,971",317,312,329,3,961,"20,932"
State Representative District 041,"9,519","4,939","5,113",80,"19,651",719,309,640,14,"1,682","21,333"
State Representative District 042,"6,288","7,200","6,104",75,"19,667",485,489,621,5,"1,600","21,267"
State Representative District 043,"6,739","7,702","5,537",55,"20,033",425,392,488,2,"1,307","21,340"
State Representative District 044,"4,540","8,076","8,850",52,"21,518",759,"1,110","1,693",1,"3,563","25,081"
State Representative District 045,"5,701","4,468","6,626",102,"16,897","1,571",953,"2,149",37,"4,710","21,607"
State Representative District 046,"5,564","4,589","6,333",124,"16,610","1,475","1,023","2,260",46,"4,804","21,414"
State Representative District 047,"5,916","6,414","7,733",35,"20,098",362,390,849,3,"1,604","21,702"
State Representative District 048,"5,567","6,961","7,676",43,"20,247",386,428,825,2,"1,641","21,888"
State Representative District 049,"4,579","7,249","7,698",48,"19,574",338,381,715,3,"1,437","21,011"
State Representative District 050,"3,850","8,982","6,950",31,"19,813",402,401,834,4,"1,641","21,454"
State Representative District 051,"5,341","6,211","7,863",19,"19,434",380,285,778,1,"1,444","20,878"
State Representative District 052,"6,286","5,151","8,783",16,"20,236",324,261,688,5,"1,278","21,514"
State Representative District 053,"6,879","4,486","8,411",26,"19,802",551,328,975,1,"1,855","21,657"
State Representative District 054,"4,130","8,551","7,464",16,"20,161",288,354,732,1,"1,375","21,536"
State Representative District 055,"5,156","6,480","6,895",40,"18,571",973,391,"1,064",7,"2,435","21,006"
State Representative District 056,"4,994","7,053","7,257",21,"19,325",340,323,750,2,"1,415","20,740"
State Representative District 057,"7,484","5,969","8,249",36,"21,738",283,254,502,3,"1,042","22,780"
State Representative District 058,"7,309","4,791","8,699",25,"20,824",475,252,900,3,"1,630","22,454"
State Representative District 059,"5,545","5,178","7,652",112,"18,487",640,415,"1,018",13,"2,086","20,573"
State Representative District 060,"5,964","7,044","7,801",50,"20,859",509,378,753,6,"1,646","22,505"
State Representative District 061,"7,213","3,932","6,842",47,"18,034",569,257,743,0,"1,569","19,603"
State Representative District 062,"8,825","2,421","6,434",45,"17,725",697,176,707,2,"1,582","19,307"
State Representative District 063,"4,787","6,395","9,182",30,"20,394",450,352,915,4,"1,721","22,115"
State Representative District 064,"5,618","4,517","8,163",24,"18,322",294,185,679,1,"1,159","19,481"
State Representative District 065,"8,619","4,303","6,146",88,"19,156","1,132",409,941,7,"2,489","21,645"
State Representative District 066,"6,997","5,946","7,110",72,"20,125",731,438,859,3,"2,031","22,156"
State Representative District 067,"5,698","6,956","7,933",59,"20,646",556,535,785,3,"1,879","22,525"
State Representative District 068,"6,544","6,179","7,979",81,"20,783",500,483,763,7,"1,753","22,536"
State Representative District 069,"7,428","3,763","7,384",69,"18,644",849,379,"1,030",7,"2,265","20,909"
State Representative District 070,"8,154","4,747","7,395",52,"20,348",638,403,719,4,"1,764","22,112"
State Representative District 071,"5,446","5,095","6,345",12,"16,898",605,458,925,2,"1,990","18,888"
State Representative District 072,"5,441","6,326","8,092",26,"19,885",397,315,886,0,"1,598","21,483"
State Representative District 073,"6,296","5,839","7,488",47,"19,670",427,318,767,3,"1,515","21,185"
State Representative District 074,"8,294","4,100","5,813",74,"18,281","1,584",627,"1,416",12,"3,639","21,920"
State Representative District 075,"5,129","5,927","8,791",30,"19,877",367,277,776,2,"1,422","21,299"
State Representative District 076,"5,495","6,615","8,482",36,"20,628","1,333",326,989,5,"2,653","23,281"
State Representative District 077,"7,573","5,322","7,768",54,"20,717",754,501,960,3,"2,218","22,935"
State Representative District 078,"4,793","7,306","6,910",41,"19,050",360,355,755,5,"1,475","20,525"
State Representative District 079,"3,704","9,198","6,417",34,"19,353",611,727,"1,102",4,"2,444","21,797"
State Representative District 080,"5,907","6,481","6,721",23,"19,132",479,419,838,2,"1,738","20,870"
State Representative District 081,"7,769","4,147","5,709",25,"17,650",699,343,778,4,"1,824","19,474"
State Representative District 082,"6,027","6,536","5,941",74,"18,578",636,499,"1,143",10,"2,288","20,866"
State Representative District 083,"8,510","3,165","6,490",36,"18,201",674,301,892,1,"1,868","20,069"
State Representative District 084,"4,471","7,248","7,158",26,"18,903",429,380,843,2,"1,654","20,557"
State Representative District 085,"10,456","3,942","8,121",186,"22,705","2,967","1,267","3,258",50,"7,542","30,247"
State Representative District 086,"9,342","3,255","7,053",123,"19,773","2,580","1,115","2,961",44,"6,700","26,473"
State Representative District 087,"8,652","3,975","6,311",34,"18,972",837,326,932,2,"2,097","21,069"
State Representative District 088,"5,718","6,031","6,833",23,"18,605",526,385,921,1,"1,833","20,438"
State Representative District 089,"7,123","4,500","8,437",43,"20,103",864,381,"1,190",4,"2,439","22,542"
State Representative District 090,"7,690","2,767","7,221",64,"17,742","1,427",453,"1,784",7,"3,671","21,413"
State Representative District 091,"5,518","5,910","7,365",30,"18,823",647,599,"1,099",0,"2,345","21,168"
State Representative District 092,"5,745","5,690","8,562",37,"20,034",834,500,"1,326",3,"2,663","22,697"
State Representative District 093,"6,774","6,229","8,013",58,"21,074",984,716,"1,580",10,"3,290","24,364"
State Representative District 094,"5,498","8,490","9,176",65,"23,229",699,710,"1,267",1,"2,677","25,906"
State Representative District 095,"6,369","6,292","8,204",63,"20,928",552,348,714,7,"1,621","22,549"
State Representative District 096,"4,584","5,933","8,301",12,"18,830",280,258,708,0,"1,246","20,076"
State Representative District 097,"5,712","6,279","8,908",35,"20,934",467,389,889,3,"1,748","22,682"
State Representative District 098,"6,612","3,978","7,731",24,"18,345","1,004",363,"1,310",5,"2,682","21,027"
State Representative District 099,"8,790","4,976","7,095",61,"20,922",672,397,801,7,"1,877","22,799"
State Representative District 100,"8,118","3,660","6,345",56,"18,179",826,369,871,8,"2,074","20,253"
Totals,"603,376","620,446","698,355","4,604","1,926,781","62,131","43,828","93,634",534,"200,127","2,126,908"
