State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 048,"5,802","8,499","6,781",146,"21,228",217,301,568,16,"1,102","22,330"
State Representative District 049,"5,531","8,127","7,249",209,"21,116",244,332,464,20,"1,060","22,176"
State Representative District 050,"4,437","9,380","6,231",105,"20,153",179,335,465,6,985,"21,138"
State Representative District 051,"5,191","7,005","7,398",101,"19,695",276,285,675,7,"1,243","20,938"
State Representative District 052,"5,758","6,043","7,800",95,"19,696",369,267,747,9,"1,392","21,088"
State Representative District 053,"6,864","4,728","7,732",108,"19,432",375,287,823,7,"1,492","20,924"
State Representative District 054,"4,332","8,572","6,668",104,"19,676",199,324,538,5,"1,066","20,742"
State Representative District 055,"6,459","6,895","6,033",93,"19,480",540,287,777,17,"1,621","21,101"
State Representative District 056,"5,060","7,714","6,426",102,"19,302",295,285,552,9,"1,141","20,443"
State Representative District 057,"8,246","8,319","6,981",123,"23,669",229,269,449,5,952,"24,621"
State Representative District 058,"7,149","6,644","7,742",69,"21,604",253,195,599,5,"1,052","22,656"
State Representative District 059,"7,376","5,380","6,148",169,"19,073",654,484,"1,084",26,"2,248","21,321"
State Representative District 060,"7,819","7,558","6,797",145,"22,319",479,480,709,20,"1,688","24,007"
State Representative District 061,"7,612","4,234","5,682",162,"17,690",571,260,619,25,"1,475","19,165"
State Representative District 062,"8,545","2,822","5,239",155,"16,761",604,173,548,11,"1,336","18,097"
State Representative District 063,"5,760","7,201","8,277",108,"21,346",266,237,619,13,"1,135","22,481"
State Representative District 064,"5,641","5,329","7,553",87,"18,610",231,155,590,7,983,"19,593"
State Representative District 065,"9,956","4,183","5,279",237,"19,655",610,239,530,23,"1,402","21,057"
State Representative District 066,"8,597","5,729","6,233",216,"20,775",431,288,517,20,"1,256","22,031"
State Representative District 067,"8,217","7,697","7,445",219,"23,578",326,425,524,18,"1,293","24,871"
State Representative District 068,"8,376","6,712","7,438",224,"22,750",340,330,486,18,"1,174","23,924"
State Representative District 069,"8,750","4,851","7,096",244,"20,941",470,264,593,30,"1,357","22,298"
State Representative District 070,"9,220","5,005","6,606",219,"21,050",429,263,460,28,"1,180","22,230"
State Representative District 071,"6,186","5,005","5,241",115,"16,547",372,284,709,11,"1,376","17,923"
State Representative District 072,"5,334","7,084","7,233",115,"19,766",215,236,533,6,990,"20,756"
State Representative District 073,"7,236","7,118","6,909",143,"21,406",293,260,484,18,"1,055","22,461"
State Representative District 074,"12,015","3,878","5,649",178,"21,720","1,243",438,962,40,"2,683","24,403"
State Representative District 075,"5,022","7,458","7,825",137,"20,442",212,254,534,12,"1,012","21,454"
State Representative District 076,"6,690","7,486","7,631",122,"21,929",661,278,664,18,"1,621","23,550"
State Representative District 077,"10,504","6,245","8,121",200,"25,070",538,444,745,26,"1,753","26,823"
State Representative District 078,"5,052","8,011","6,543",130,"19,736",247,331,554,19,"1,151","20,887"
State Representative District 079,"3,834","10,384","5,545",124,"19,887",388,549,783,11,"1,731","21,618"
State Representative District 080,"4,942","8,093","5,997",120,"19,152",297,341,732,14,"1,384","20,536"
State Representative District 081,"6,666","4,948","5,317",97,"17,028",507,285,732,6,"1,530","18,558"
State Representative District 082,"6,630","7,423","5,047",128,"19,228",458,296,592,20,"1,366","20,594"
State Representative District 083,"7,323","4,498","5,968",136,"17,925",551,289,916,20,"1,776","19,701"
State Representative District 084,"4,633","7,804","6,247",115,"18,799",298,376,748,13,"1,435","20,234"
State Representative District 085,"13,468","2,831","4,735",166,"21,200","2,894","1,329","2,758",109,"7,090","28,290"
State Representative District 086,"11,377","2,601","4,952",169,"19,099","2,331",928,"2,259",79,"5,597","24,696"
State Representative District 087,"8,329","4,827","6,049",161,"19,366",590,252,733,17,"1,592","20,958"
State Representative District 088,"5,850","7,226","6,695",103,"19,874",213,227,464,10,914,"20,788"
State Representative District 089,"7,801","4,786","7,627",179,"20,393",731,343,997,17,"2,088","22,481"
State Representative District 090,"7,667","3,097","6,868",223,"17,855","1,201",394,"1,465",44,"3,104","20,959"
State Representative District 091,"6,276","6,391","6,692",166,"19,525",412,348,743,14,"1,517","21,042"
State Representative District 092,"6,508","6,467","8,268",161,"21,404",580,401,898,23,"1,902","23,306"
State Representative District 093,"8,334","6,158","7,427",204,"22,123",811,557,"1,231",34,"2,633","24,756"
State Representative District 094,"8,036","9,194","9,217",181,"26,628",625,796,"1,203",33,"2,657","29,285"
State Representative District 095,"7,166","7,255","7,736",155,"22,312",326,249,449,12,"1,036","23,348"
State Representative District 096,"4,653","7,217","7,281",82,"19,233",174,220,512,9,915,"20,148"
State Representative District 097,"6,167","7,837","8,351",162,"22,517",327,362,756,6,"1,451","23,968"
State Representative District 098,"6,590","4,988","7,067",107,"18,752",564,240,899,13,"1,716","20,468"
State Representative District 099,"9,932","5,733","5,815",189,"21,669",763,417,882,28,"2,090","23,759"
State Representative District 100,"8,369","4,724","5,478",178,"18,749",781,465,952,21,"2,219","20,968"
Totals,"690,250","703,335","646,722","15,773","2,056,080","47,858","37,586","71,035","1,943","158,422","2,214,502"
